id,name,category,energy_level,venues,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5
131,"Cyanotype & Screen Printing Lab (Allkimik)","creative","low","N/A",,,,,
172,"Embroidery & Traditional Motifs – FCV","creative","low","N/A",,,,,
192,"Evening acrylic painting class (Rodia Art Studio)","creative","low","N/A",,,,,
1223,"Fashion Illustration After-Work (DallesGO)","creative","medium","DallesGO (Bucharest)",,,,,
1114,"Guided Acrylic Painting (Art & Hobby Studio)","creative","medium","Art & Hobby Studio (Bucharest)",,,,,
130,"Hand-Building Ceramics Workshop (ArtTime Atelier)","creative","low","N/A",,,,,
49,"Icon on Glass Workshop (ASTRA Museum)","creative","low","Muzeul Civilizației Populare Tradiționale ASTRA (Sibiu)",,,,,
45,"Improvisation Theatre Workshop (Bucharest)","creative","medium","Teatrul Național București I.L. Caragiale (Bucharest)",,,,,
100,"Intro to Woodworking (NOD Makerspace)","creative","medium","NOD Makerspace (Bucharest)",,,,,
1115,"Jewelry Making Fundamentals (Assamblage School)","creative","medium","Assamblage School of Jewelry (Bucharest)",,,,,
195,"Knitting & crochet at a textile atelier","creative","low","N/A",,,,,
1117,"Leathercraft: Hand-Stitched Wallet at Urban Bag","creative","medium","Urban Bag Leather Workshop (Bucharest)",,,,,
1123,"Maker Induction & Studio Access (FIX Makerspace)","creative","medium","FIX Makerspace (Oradea)",,,,,
166,"Micro-Visit: MNAR European Gallery (1 Room)","creative","low","N/A",,,,,
167,"Micro-Visit: Museum of Maps – 1 Gallery","creative","low","N/A",,,,,
184,"Micro-visit: Theodor Aman Museum","creative","low","N/A",,,,,
183,"Micro-visit: Zambaccian Museum (one-gallery focus)","creative","low","N/A",,,,,
171,"Modern Calligraphy – Fundația Calea Victoriei","creative","low","N/A",,,,,
1118,"Modern Calligraphy at Seneca AntiCafe","creative","low","Seneca AntiCafe (with Ograda Type Co) (Bucharest)",,,,,
1122,"Paint-Your-Own Ceramics (Caferamica Iași)","creative","low","Caferamica Iași (Iași)",,,,,
1113,"Paint-Your-Own Ceramics at Made by You","creative","low","Made by You (Bucharest)",,,,,
193,"Paint-your-own pottery (MadeByYou)","creative","low","N/A",,,,,
132,"Painting & Drawing Class (Art & Hobby Studio)","creative","low","Art & Hobby Studio (Bucharest)",,,,,
170,"Painting Class at Atelier Pastel (Dorobanți)","creative","low","N/A",,,,,
190,"Pottery basics: hand-building & glazing","creative","medium","N/A",,,,,
109,"Pottery Wheel Taster (Bucharest)","creative","low","ArtTime Atelier de Creatie (Bucharest)",,,,,
129,"Pottery Wheel Throwing for Beginners (Clay Play)","creative","low","N/A",,,,,
169,"Pottery Workshop (Urban Crafts/Extasy)","creative","low","N/A",,,,,
142,"Quick Reset: Bookstore Browsing at Cărturești","creative","low","N/A",,,,,
144,"Quick Reset: Macca–Vilacrosse Passage Stroll","creative","low","N/A",,,,,
143,"Quick Reset: MNAC Rooftop Terrace View","creative","low","N/A",,,,,
1225,"Resin Art: Pour & Finish (NOD cursuri)","creative","medium","NOD Makerspace (Cursuri) (Bucharest)",,,,,
46,"Salsa/Bachata Beginner Class (Bucharest)","creative","medium","Ginga – Cursuri Kizomba, Bachata, Salsa (Bucharest)",,,,,
48,"Screen Printing Basics (Bucharest)","creative","medium","Muzeul Național de Artă Contemporană (MNAC București) (Bucharest)",,,,,
1220,"Sewing & Patternmaking Basics (Atelierele ILBAH)","creative","medium","Atelierele ILBAH București (Bucharest)",,,,,
173,"Sewing Basics – Atelierele ILBAH","creative","medium","N/A",,,,,
1124,"Sip & Paint Night (PaintandParty.ro)","creative","medium","PaintandParty.ro (various venues) (Bucharest)",,,,,
99,"Stained Glass (Tiffany Technique) Workshop","creative","medium","Tiffany Art – Atelier vitralii (Bucharest)",,,,,
1221,"Stained Glass (Tiffany) Intro Workshop","creative","medium","Atelier Vitralii Tiffany Concept (Sector 5/Bucharest)",,,,,
1120,"Traditional Embroidery at Casa cu Rost","creative","low","Casa cu Rost (Bucharest)",,,,,
1222,"Traditional Pottery at Ceramica de Nocrich","creative","medium","Ceramica de Nocrich (Scout Centre) (Nocrich)",,,,,
50,"Weaving on the Loom (ASTRA Museum)","creative","low","Muzeul Civilizației Populare Tradiționale ASTRA (Sibiu)",,,,,
1112,"Wheel Throwing Intro at Clay Play","creative","medium","Clay Play Ceramica (Bucharest)",,,,,
1218,"Wheel Throwing Starter at Em Chang Studio","creative","medium","Em Chang Ceramic Studio (Brașov)",,,,,
191,"Wheel-throwing taster at CUBUL","creative","medium","N/A",,,,,
1119,"Woodworking Basics at NOD Makerspace","creative","medium","NOD Makerspace (Bucharest)",,,,,
2007,"Amateur Cooking at Atelierele ILBAH","culinary","medium","Amateur Cooking at Atelierele ILBAH (București)",,,,,
2011,"Artisan Techniques at Artisan Cooking Classes","culinary","medium","Artisan Techniques at Artisan Cooking Classes (București)",,,,,
118,"Bucharest Food Market Tour (Obor/Dorobanți)","culinary","medium","Piața Obor (Obor Market) (Bucharest)",,,,,
36,"Bucharest Traditional Food Tour","culinary","medium","Old Town Meeting Point (Lipscani) (Bucharest) | Caru' cu Bere (Bucharest)",,,,,
2018,"Chef Course at ICEP București","culinary","medium","Chef Course at ICEP București (București)",,,,,
133,"Chocolate Tasting Foundations (Artisan HUB events)","culinary","low","Climb Again Climbing Centre (Berceni) (Bucharest)",,,,,
38,"Cluj-Napoca Street Food & Market Tasting","culinary","medium","Piata Agroalimentara Mihai Viteazul (Cluj-Napoca)",,,,,
44,"Constanța Seafood Tasting Experience","culinary","low","Juicy Crab Constanța (Constanța)",,,,,
2008,"Cooking for Beginners at DallesGO","culinary","medium","Cooking for Beginners at DallesGO (București)",,,,,
1025,"Cramele Recaș Estate Visit & Tasting","culinary","medium","Cramele Recaș (Recaș)",,,,,
2019,"Culinary Masterclass at Horeca School","culinary","medium","Culinary Masterclass at Horeca School (București)",,,,,
2014,"Culinary Workshops at KUXA Studio","culinary","medium","Culinary Workshops at KUXA Studio (București)",,,,,
43,"Dealu Mare Winery Trio (Lacerta/Serve/Budureasca)","culinary","medium","Lacerta Winery (Fințești)",,,,,
42,"Domeniul Bogdan Organic Winery Tour","culinary","low","Crama Domeniul Bogdan (Medgidia)",,,,,
2016,"French Techniques at Disciples Escoffier","culinary","medium","French Techniques at Disciples Escoffier (București)",,,,,
2009,"Gourmet Techniques at Société Gourmet","culinary","medium","Gourmet Techniques at Société Gourmet (București)",,,,,
41,"Gramma Winery Visit & Tasting (Iași)","culinary","low","Gramma Winery (Vișan)",,,,,
2012,"Grill Mastery at Grill Expert Academy","culinary","medium","Grill Mastery at Grill Expert Academy (Cluj-Napoca)",,,,,
2006,"Hands-On Classes at Cooking Studio","culinary","medium","Hands-On Classes at Cooking Studio (București)",,,,,
1029,"Hands-on Cocktail Workshop (Bucharest)","culinary","medium","Event-based Cocktail Class (Bucharest)",,,,,
106,"Homebakers by Grain Trip (Bread & Viennoiserie)","culinary","medium","Snakes & Wizards Board Game Cafe (Bucharest)",,,,,
1023,"LacertA Winery Tour & Tasting (Dealu Mare)","culinary","medium","LacertA Winery (Fintești)",,,,,
2013,"Local Cuisine Workshops at My Transylvania","culinary","medium","Local Cuisine Workshops at My Transylvania (Brașov)",,,,,
1028,"Meron Public Coffee Cupping (Cluj)","culinary","medium","Meron Roastery – CBC (Cluj-Napoca)",,,,,
104,"Mixology & Cocktail Fundamentals (Exquisite Bar Solutions)","culinary","medium","Mojo Music Club (Bucharest)",,,,,
2010,"Modern Cooking at CulinaryOn România","culinary","medium","Modern Cooking at CulinaryOn România (București)",,,,,
134,"Old Town Street Food Tour (Small Group)","culinary","medium","Cyberjump ParkLake (Bucharest)",,,,,
1022,"Old Town Wine Tasting at Abel's","culinary","medium","Abel's Wine Bar (Bucharest)",,,,,
2020,"Pastry Courses at SIMPA Sibiu","culinary","medium","Pastry Courses at SIMPA Sibiu (Sibiu)",,,,,
2017,"Professional Chef Training at ICEP Hotel School","culinary","medium","Professional Chef Training at ICEP Hotel School (București)",,,,,
2005,"Professional Cooking at Horeca Culinary School","culinary","medium","Professional Cooking at Horeca Culinary School (București)",,,,,
164,"Quick Reset Café: FRUDISIAC","culinary","low","N/A",,,,,
162,"Quick Reset Café: Steam Coffee Shop Victoriei","culinary","low","N/A",,,,,
165,"Quick Reset Café: TROFIC (City Center)","culinary","low","N/A",,,,,
181,"Quick reset: BOB Coffee Lab (Charles de Gaulle)","culinary","low","N/A",,,,,
179,"Quick reset: Saint Roastery coffee stop","culinary","low","N/A",,,,,
182,"Quick reset: Throwback Dorobanți","culinary","low","N/A",,,,,
180,"Quick reset: Two Minutes Coffee Shop","culinary","low","N/A",,,,,
1024,"Rhein Azuga 1892 Cellar Tour & Bubbles","culinary","medium","Rhein & Cie Azuga 1892 Cellar (Azuga)",,,,,
37,"Romanian Cooking Class in Bucharest","culinary","medium","Chef's Home Studio (central) (Bucharest)",,,,,
39,"Sibiu Old Town Food Tour","culinary","low","Piața Mare (Grand Square) Sibiu (Sibiu)",,,,,
105,"Sourdough & Pastry Fundamentals (Horeca Culinary School)","culinary","medium","Mojo Music Club (Bucharest)",,,,,
103,"Specialty Coffee Cupping & Barista Basics","culinary","medium","Origo Coffee Shop (Bucharest)",,,,,
149,"Tea Tasting & Ceremony (Cotroceni Teahouses)","culinary","low","N/A",,,,,
40,"Timișoara Craft Beer Tasting Crawl","culinary","medium","Berăria 700 (Timișoara)",,,,,
2015,"Traditional Cookery at Casa Ratiu","culinary","medium","Traditional Cookery at Casa Ratiu (Turda)",,,,,
7,"Wine Tasting in Dealu Mare","culinary","low","Lacerta Winery – Visits & Tasting (Fînțești) | Budureasca Winery – Visitor Centre (Gura Vadului) | SERVE – Ceptura Winery (Ceptura)",,,,,
1026,"ASTRA Museum Hands-on Crafts Workshop","culture","medium","ASTRA National Museum Complex (Sibiu)",,,,,
3,"Bran Castle (Dracula's Castle) Visit","culture","medium","Bran Castle – Official (Bran)",,,,,
4,"Brașov Old Town Walking Tour","culture","medium","Walkabout Free Tours – Brașov (Brașov) | Tour Guide Brașov (Private Guide) (Brașov) | Salina Turda – Main Entrance (Turda) | Hello Bucovina Travel & Tours (Suceava) | Voroneț Monastery (stop) (Gura Humorului) | Old Town Meeting Point (Lipscani) (Bucharest) | Caru' cu Bere (Bucharest) | Apuseni Experience (guide office) (Alba Iulia) | Bucharest Geek Hub (Bucharest) | Snakes & Wizards Board Game Café (Bucharest)",,,,,
120,"Bucharest Architectural Walking Tour","culture","medium","Starbucks – Hanul lui Manuc (Bucharest Architecture Tour Meeting Point) (Bucharest)",,,,,
121,"Bucharest Communist History Tour","culture","low","Palatul Primăverii (Ceaușescu Mansion) (Bucharest)",,,,,
117,"Bucharest Ghost Tour (Old Town)","culture","medium","Ion Luca Caragiale National Theatre – Ghost Tour Meeting Point (Bucharest)",,,,,
122,"Bucharest Jewish Heritage Tour","culture","low","Great Synagogue (Sinagoga Mare) (Bucharest)",,,,,
119,"Bucharest Vintage Shopping Tour","culture","medium","Cărturești Carusel – Concept Store & Bookshop (Bucharest)",,,,,
11,"Bucovina Painted Monasteries Tour","culture","medium","Voroneț Monastery (stop) (Gura Humorului) | Hello Bucovina Travel & Tours (Suceava)",,,,,
10,"Dimitrie Gusti National Village Museum","culture","low","National Village Museum – Ticket Office (Bucharest)",,,,,
2,"Peleș Castle Guided Visit","culture","low","Peleș Castle – Official Museum (Sinaia) | Pelișor Castle (Annex Museum) (Sinaia) | Bran Castle – Official (Bran)",,,,,
9,"Turda Salt Mine Underground Park","culture","medium","Salina Turda – Main Entrance (Turda) | Central Park (Chios / Ethnographic Park stages) (Cluj-Napoca) | Parc Aventura Comana (Comana)",,,,,
1027,"Village Museum Curated Guided Tour","culture","medium","Muzeul Satului Dimitrie Gusti (Bucharest)",,,,,
227,"Boxing Fitness (No Sparring)","fitness","high","Box După Birou (Bucharest)",,,,,
21,"Bucharest Yoga Class (Vinyasa/Hatha)","fitness","low","Cub Yoga Studio (Bucharest)",,,,,
232,"Calisthenics Park Training (Parc Tei)","fitness","high","Street Workout Park Tei (Bucharest)",,,,,
1984,"Coastal Training at World Class Constanța","fitness","high","Coastal Training at World Class Constanța (Constanța) | Coastal Training at World Class Constanța (Constanța)",,,,,
1981,"Community Swimming at Bazinul Vega","fitness","medium","Community Swimming at Bazinul Vega (Ploiești) | Community Swimming at Bazinul Vega (Ploiești)",,,,,
23,"CrossFit Session in Bucharest","fitness","high","Replay CrossFit (Bucharest)",,,,,
22,"CrossFit Session in Cluj","fitness","high","Smart Move CrossFit Berăriei (Cluj-Napoca)",,,,,
230,"F45 HIIT Team Training","fitness","high","F45 Training Bucharest North (Bucharest)",,,,,
228,"Indoor Cycling (Beat-Driven Ride)","fitness","high","World Class Romania (Cycling) (Bucharest)",,,,,
1980,"Modern Training at Complex Sportiv City","fitness","high","Modern Training at Complex Sportiv City (Ploiești) | Modern Training at Complex Sportiv City (Ploiești)",,,,,
1975,"Mountain City Laps at Bazinul Olimpic Mihai Mitrofan","fitness","high","Mountain City Laps at Bazinul Olimpic Mihai Mitrofan (Brașov) | Mountain City Laps at Bazinul Olimpic Mihai Mitrofan (Brașov)",,,,,
233,"Obstacle Course/Ninja Training","fitness","high","Ninja Sport (Obstacle Gym) (Bucharest)",,,,,
1973,"Olympic Lanes at Complex Sportiv Otopeni","fitness","high","Olympic Lanes at Complex Sportiv Otopeni (Otopeni) | Olympic Lanes at Complex Sportiv Otopeni (Otopeni)",,,,,
229,"Outdoor Bootcamp (Total Body)","fitness","high","BodyUpgrade (Outdoor/Studio) (Bucharest)",,,,,
126,"Pilates Class (Bucharest)","fitness","medium","MYB Pilates (Bucharest)",,,,,
1983,"Premium Club Swimming at World Class Mall Moldova","fitness","high","Premium Club Swimming at World Class Mall Moldova (Iași) | Premium Club Swimming at World Class Mall Moldova (Iași)",,,,,
1977,"Technical University Pool at UTCN","fitness","high","Technical University Pool at UTCN (Cluj-Napoca) | Technical University Pool at UTCN (Cluj-Napoca)",,,,,
1974,"Training Session at Bazinul Olimpic Dinamo","fitness","high","Training Session at Bazinul Olimpic Dinamo (București) | Training Session at Bazinul Olimpic Dinamo (București)",,,,,
1979,"Transylvanian Laps at Bazinul Olimpic Târgu Mureș","fitness","high","Transylvanian Laps at Bazinul Olimpic Târgu Mureș (Târgu Mureș) | Transylvanian Laps at Bazinul Olimpic Târgu Mureș (Târgu Mureș)",,,,,
1976,"University Pool at Complexul de Natație UBB","fitness","high","University Pool at Complexul de Natație UBB (Cluj-Napoca) | University Pool at Complexul de Natație UBB (Cluj-Napoca)",,,,,
1978,"Western Training at Bazinul Olimpic Ioan Alexandrescu","fitness","high","Western Training at Bazinul Olimpic Ioan Alexandrescu (Oradea) | Western Training at Bazinul Olimpic Ioan Alexandrescu (Oradea)",,,,,
1982,"Year-Round Swimming at Aria Aqua Park","fitness","medium","Year-Round Swimming at Aria Aqua Park (Sibiu) | Year-Round Swimming at Aria Aqua Park (Sibiu)",,,,,
231,"Zumba Dance Fitness","fitness","high","Zumba @ Empowerfit/City Studios (Bucharest)",,,,,
53,"Barista Basics Workshop (Cluj)","learning","medium","Il Caffé – Barista Course by Bartending Institute (Cluj-Napoca)",,,,,
148,"Classic Film at Cinemateca Eforie","learning","low","N/A",,,,,
124,"Intro to 3D Printing & Rapid Prototyping (NOD)","learning","medium","Bucharest RUNNING CLUB (Bucharest)",,,,,
125,"Intro to Programming (Școala Informală de IT)","learning","medium","Roaba de Cultură – King Michael I Park (Herăstrău) (Bucharest)",,,,,
55,"Intro to Romanian Wine (Bucharest)","learning","low","Abel's Wine Bar & Shop (Bucharest)",,,,,
168,"Micro-Visit: Antipa – One Hall Only (Coral & Fish)","learning","low","N/A",,,,,
123,"Photography Fundamentals (Academia F64)","learning","medium","Bike The City (Bucharest)",,,,,
51,"Romanian Language Crash Course (Bucharest)","learning","medium","ROLANG School – Romanian Courses (Bucharest)",,,,,
151,"Self-Guided Architecture Audio Walk (Old Town)","learning","low","N/A",,,,,
54,"Sibiu Traditional Cooking Class","learning","medium","Sibiu Tour Guide – Cooking Lessons (Oak Tree Travel) (Sibiu)",,,,,
52,"Specialty Coffee Brewing Class (Bucharest)","learning","medium","Origo Coffee Shop (Bucharest)",,,,,
178,"Breathwork fundamentals (Wim Hof/box/paced)","mindfulness","medium","N/A",,,,,
137,"Float Therapy Session (Sensory Deprivation)","mindfulness","low","N/A",,,,,
138,"Gong & Sound Bath (The Inner)","mindfulness","low","N/A",,,,,
177,"Guided meditation session","mindfulness","low","N/A",,,,,
57,"Halotherapy & Mindful Walk – Turda Salt Mine","mindfulness","low","Salina Turda (Turda)",,,,,
139,"Intro to Raja Yoga Meditation (Brahma Kumaris)","mindfulness","low","N/A",,,,,
58,"Salt Mine Wellness Session – Praid","mindfulness","low","Salina Praid (Praid)",,,,,
56,"Sound Bath & Breathwork (Bucharest)","mindfulness","low","Narandi Yoga Studio (Bucharest)",,,,,
176,"Sound bath with gongs & bowls","mindfulness","low","N/A",,,,,
140,"Tai Chi & Qigong Classes (Taijidao)","mindfulness","low","N/A",,,,,
59,"Therme Sauna Rituals & Mindful Heat","mindfulness","low","Therme București (Balotești)",,,,,
749,"ATV/Quad Off-Road Tour – Zărnești & Plaiul Foii","motorsports","high","ATV Rental Adventures Zărnești (Zărnești)",,,,,
795,"Drift Taxi & Hot Laps at Academia Titi Aur","motorsports","high","Academia Titi Aur (Cocani)",,,,,
747,"Outdoor Go-Karting – AMCKart (1.24 km CIK-FIA Track)","motorsports","high","AMCKart – Outdoor Circuit (Tunari/Bucharest)",,,,,
318,"Outdoor Karting Session (AMCKart Tunari)","motorsports","high","AMCKart Tunari (Tunari)",,,,,
796,"Outdoor Karting Sprints at Prejmer Raceway","motorsports","high","Prejmer Raceway (Prejmer)",,,,,
316,"Track Day Laps at MotorPark Romania","motorsports","high","MotorPark Romania (Adâncata)",,,,,
12,"Bear Watching from a Hide (Brașov)","nature","medium","BearWatching.ro (Brasov) (Brașov) | Transylvanian Wolf – Wildlife Tours (Zărnești) | Bucharest Pub Crawl (GetYourGuide meeting point) (Bucharest) | Cluj Pub Crawl (GetYourGuide check-in) (Cluj-Napoca) | Green Hours Jazz & Theatre Café (Bucharest) | The Jazz Club (JazzBook) (Bucharest) | Art & Hobby Studio – Ceramics (Bucharest) | Stejarii Country Club – Tennis (Bucharest) | Guided Photo Walk – Cluj Old Town (Cluj-Napoca) | Ana Health Spa – Hotel Europa (Eforie Nord) | Aqvatonic Med Spa – Steaua de Mare (Eforie Nord) | Potcoava Mountain Hideout (Runcu) | Viscri 125 Guesthouse (bike rental) (Viscri) | The PUB Universității (Bucharest) | The Void Escape Room (Bucharest) | Inside Rooms (Bucharest) | Squash4All (Bucharest) | Gateway VR Studio (Bucharest) | Escape Arena (Bucharest) | Candlelight Concerts (various venues) (Bucharest) | LaserMaxx (Vitan/Unirii) (Bucharest) | Laser Megazone (Titan Park) (Bucharest) | PadelX Romexpo Courts (Bucharest) | ARGMAN Football Complex (Bucharest)",,,,,
189,"Botanical Garden: Palmhouse & remedy garden loop","nature","low","N/A",,,,,
63,"Bucegi Plateau Hike: Babele & Sphinx","nature","medium","Telecabina Bușteni (Cable Car) (Bușteni) | Cheile Turzii Visitor Centre (Tureni)",,,,,
65,"Cheile Turzii Gorge Guided Hike","nature","medium","Cheile Turzii Visitor Centre (Tureni)",,,,,
6,"Danube Delta Boat Safari from Tulcea","nature","medium","Discover Danube Delta – Tulcea Office (Tulcea) | SAFCA Delta Tours (Tulcea) | LaȘtunul Boats – Herăstrău Park (Bucharest) | Snagov Club Boats (Snagov) | Debarcader Central Herăstrău (ALPAB) (Bucharest)",,,,,
145,"Japanese Garden Stroll (King Michael I Park)","nature","low","N/A",,,,,
62,"Leaota Mountain Horseback Trail Ride","nature","medium","Potcoava Mountain Hideout (Runcu)",,,,,
188,"Mini-walk & overlook: Tineretului Park","nature","medium","N/A",,,,,
187,"Photo spot & sit: Izvor Park Parliament view","nature","low","N/A",,,,,
159,"Quick Reset: Botanical Garden Rosarium Loop","nature","low","N/A",,,,,
158,"Quick Reset: Carol Park Mausoleum Viewpoint Bench","nature","low","N/A",,,,,
157,"Quick Reset: Cișmigiu Gardens Quiet Loop & Bench 7","nature","low","N/A",,,,,
160,"Quick Reset: Kiseleff Shaded Boulevard Benches","nature","low","N/A",,,,,
161,"Quick Reset: Titan (A.I. Cuza) Lakeside – Insula Artelor","nature","low","N/A",,,,,
186,"Quiet bench: Grădina Icoanei","nature","low","N/A",,,,,
185,"Quiet bench: Parcul Circului (Lotus Lake)","nature","low","N/A",,,,,
66,"Retezat National Park Day Hike","nature","high","Cabana Pietrele – Retezat National Park (Nucșoara)",,,,,
64,"Scărișoara Ice Cave & Apuseni Views","nature","medium","Apuseni Experience (guide office) (Alba Iulia)",,,,,
146,"Urban Nature Walk & Birdwatching (Văcărești)","nature","low","N/A",,,,,
67,"Viscri Pastures Bike & Haystack Walk","nature","medium","Viscri 125 Guesthouse (bike rental) (Viscri)",,,,,
1743,"Abel's Wine Bar Discovery Night","nightlife","low","Abel's Wine Bar (Bucharest)",,,,,
1893,"Alt & Electronic Nights at Control Club","nightlife","","N/A",,,,,
1910,"Alt-Rock & Indie Nights at Expirat","nightlife","","N/A",,,,,
1969,"Beach Club Night at EGO Mamaia","nightlife","","Ego Club Mamaia (Mamaia)",,,,,
1926,"Beer O'Clock: Craft & Imports","nightlife","","N/A",,,,,
1923,"Beluga: Music & Cocktails (Old Town)","nightlife","","N/A",,,,,
1905,"Berăria H Beer Hall & Live Shows","nightlife","","N/A",,,,,
