ID,Name_EN,Name_RO,Category,Energy_Level
62,"Leaota Mountain Horseback Trail Ride","Traseu cu Calul pe Muntele Leaota",nature,medium
63,"Bucegi Plateau Hike: Babele & Sphinx","Drumeție pe Platoul Bucegi: Babele & Sfinxul",nature,medium
64,"Scărișoara Ice Cave & Apuseni Views","Peștera de Gheață Scărișoara & Priveliștea Apusenilor",nature,medium
65,"Cheile Turzii Gorge Guided Hike","Drumeție Ghidată pe Cheile Turzii",nature,medium
66,"Retezat National Park Day Hike","Drumeție de o Zi în Parcul Național Retezat",nature,high
67,"Viscri Pastures Bike & Haystack Walk","Plimbare cu Bicicleta și Plimbare pe Fânețe la Viscri",nature,medium
68,"Board Game Night in Bucharest Old Town","Seară de Jocuri de Societate în Centrul Vechi al Bucureștiului",social,medium
69,"Pub Quiz Night in the Old Town (Mojo & The PUB)","Seară de Pub Quiz în Centrul Vechi (Mojo & The PUB)",social,medium
70,"Escape Room Marathon (Central Bucharest)","Maraton de Escape Room (Centrul Bucureștiului)",social,medium
71,"Bucharest Language Exchange Social","Seară de Schimb Lingvistic în București",social,low
72,"NOR Sky Rooftop Dinner for Two","Cină pentru Doi la NOR Sky",romance,low
73,"Rooftop Cocktails at Linea/Closer to the Moon","Cocktailuri pe Terasă la Linea/Closer to the Moon",romance,medium
74,"Private Boat Ride on Herăstrău Lake","Plimbare Privată cu Barca pe Lacul Herăstrău",romance,low
75,"Private Snagov Lake Boat Cruise","Croazieră Privată pe Lacul Snagov",romance,low
76,"Couples' Photoshoot in Old Town","Ședință Foto pentru Cupluri în Centrul Vechi",romance,low
77,"Edenland Park Zipline & Aerial Courses","Trasee Aeriene și Zipline la Edenland Park",adventure,high
78,"Comana Adventure Park & Kayak","Parc de Aventură și Caiac la Comana",adventure,medium
79,"Tandem Skydiving at Clinceni Airfield","Salt în Tandem cu Parașuta la Aerodromul Clinceni",adventure,high
80,"Squash Session & Coaching (Central-East)","Sesiune și Antrenament de Squash (Centru-Est)",sports,high
81,"Badminton Courts & Group Play (Sun Plaza)","Terenuri de Badminton și Joc în Grup (Sun Plaza)",sports,medium
82,"Ice Skating Session (AFI Cotroceni)","Sesiune de Patinaj pe Gheață (AFI Cotroceni)",sports,medium
83,"Beginner Archery Class (Sector 5 Range)","Clasă de Tir cu Arcul pentru Începători (Poligon Sector 5)",sports,medium
84,"Karaoke Night at Mojo Music Club","Seară de Karaoke la Mojo Music Club",social,high
85,"Fun Bowling & Billiards at Trickshot","Bowling și Biliard Distractiv la Trickshot",social,medium
86,"Free-Roam VR Arena & Escape Games (Gateway VR)","Arenă VR cu Mișcare Liberă și Jocuri de Evadare (Gateway VR)",social,medium
87,"Immersive Escape Room Adventure","Aventură Imersivă în Cameră de Evadare",social,medium
88,"Romantic Candlelight Concert (Fever)","Concert Romantic la Lumânări (Fever)",romance,low
89,"Stargazing at Vasile Urseanu Observatory","Observație Astronomică la Observatorul Vasile Urseanu",romance,low
90,"Boat Ride on Herăstrău Lake","Plimbare cu Barca pe Lacul Herăstrău",romance,low
91,"Go-Karting: VMAX (Indoor) or AMCKart (Outdoor)","Karting: VMAX (Indoor) sau AMCKart (Outdoor)",adventure,high
92,"Indoor Climbing Session (Top-rope & Bouldering)","Sesiune de Escaladă în Interior (Top-rope și Bouldering)",adventure,medium
93,"Laser Tag Battles","Lupte Laser Tag",sports,high
94,"Padel Court Booking (Romexpo Area)","Rezervare Teren Padel (Zona Romexpo)",sports,medium
95,"5-a-Side Football Pitch Hire (South)","Închiriere Teren Fotbal 5-a-Side (Sud)",sports,high
98,"Contemporary Jewelry Making (Assamblage Institute)","Confecționare Bijuterii Contemporane (Institutul Assamblage)",creative,medium
99,"Stained Glass (Tiffany Technique) Workshop","Atelier de Sticlă Colorată (Tehnica Tiffany)",creative,medium
100,"Intro to Woodworking (NOD Makerspace)","Introducere în Prelucrarea Lemnului (NOD Makerspace)",creative,medium
103,"Specialty Coffee Cupping & Barista Basics","Degustare Cafea Specială și Noțiuni de Barista",culinary,medium
104,"Mixology & Cocktail Fundamentals (Exquisite Bar Solutions)","Mixologie și Fundamente de Cocktail (Exquisite Bar Solutions)",culinary,medium
105,"Sourdough & Pastry Fundamentals (Horeca Culinary School)","Fundamentele Aluatului de Drojdie Sălbatică & Patiserie (Horeca Culinary School)",culinary,medium
106,"Homebakers by Grain Trip (Bread & Viennoiserie)","Brutari Casnici by Grain Trip (Pâine & Viennoiserie)",culinary,medium
107,"Bucharest Trivia Night at a Craft Beer Bar","",social,medium
109,"Pottery Wheel Taster (Bucharest)","",creative,low
110,"Candle-Making Workshop (Bucharest)","",creative,low
113,"Sunset Picnic in Herăstrău Park","",romance,low
114,"Rooftop Dinner with City Views (Bucharest)","",romance,low
115,"Private Cooking Class for Two (Bucharest)","",romance,medium
116,"Stargazing Night near Bucharest","",romance,low
117,"Bucharest Ghost Tour (Old Town)","",culture,medium
118,"Bucharest Food Market Tour (Obor/Dorobanți)","",culinary,medium
119,"Bucharest Vintage Shopping Tour","",culture,medium
120,"Bucharest Architectural Walking Tour","",culture,medium
121,"Bucharest Communist History Tour","",culture,low
122,"Bucharest Jewish Heritage Tour","",culture,low
123,"Photography Fundamentals (Academia F64)","Fundamentele Fotografiei (Academia F64)",learning,medium
124,"Intro to 3D Printing & Rapid Prototyping (NOD)","Introducere în Imprimarea 3D & Prototipare Rapidă (NOD)",learning,medium
125,"Intro to Programming (Școala Informală de IT)","Introducere în Programare (Școala Informală de IT)",learning,medium
126,"Pilates Class (Bucharest)","",fitness,medium
129,"Pottery Wheel Throwing for Beginners (Clay Play)","Modelare pe Roată pentru Începători (Clay Play)",creative,low
130,"Hand-Building Ceramics Workshop (ArtTime Atelier)","Atelier de Ceramică Modelată Manual (ArtTime Atelier)",creative,low
131,"Cyanotype & Screen Printing Lab (Allkimik)","Laborator de Cianotipie & Imprimare pe Ecran (Allkimik)",creative,low
132,"Painting & Drawing Class (Art & Hobby Studio)","Curs de Pictură & Desen (Art & Hobby Studio)",creative,low
133,"Chocolate Tasting Foundations (Artisan HUB events)","Fundamente de Degustare a Ciocolatei (Artisan HUB events)",culinary,low
134,"Old Town Street Food Tour (Small Group)","Tur de Stradă cu Mâncare Tradițională în Centrul Vechi (Grup Mic)",culinary,medium
135,"Urban Hammam & Thermal Circuit (Orhideea Spa)","Circuit Termic și Hammam Urban (Orhideea Spa)",wellness,low
136,"Shiseido Spa Rituals at Stejarii Country Club","Ritualuri Spa Shiseido la Stejarii Country Club",wellness,low
137,"Float Therapy Session (Sensory Deprivation)","Sesiune de Flotație (Privare Senzorială)",mindfulness,low
138,"Gong & Sound Bath (The Inner)","Baie de Sunet cu Gong (The Inner)",mindfulness,low
139,"Intro to Raja Yoga Meditation (Brahma Kumaris)","Introducere în Meditația Raja Yoga (Brahma Kumaris)",mindfulness,low
140,"Tai Chi & Qigong Classes (Taijidao)","Clase de Tai Chi și Qigong (Taijidao)",mindfulness,low
141,"Quick Reset: Aesthetic Coffee Spots (15–30 min)","Resetare Rapidă: Cafenele Estetice (15–30 min)",social,low
142,"Quick Reset: Bookstore Browsing at Cărturești","Resetare Rapidă: Răsfoire prin Librăria Cărturești",creative,low
143,"Quick Reset: MNAC Rooftop Terrace View","Resetare Rapidă: Terasa cu Vedere de la MNAC",creative,low
144,"Quick Reset: Macca–Vilacrosse Passage Stroll","Oprire Rapidă: Plimbare pe Pasajul Macca–Vilacrosse",creative,low
145,"Japanese Garden Stroll (King Michael I Park)","Plimbare prin Grădina Japoneză (Parcul Regele Mihai I)",nature,low
146,"Urban Nature Walk & Birdwatching (Văcărești)","Plimbare prin Natura Urbană și Observare Păsări (Văcărești)",nature,low
147,"Arthouse Cinema Session (Elvire Popesco)","Sesiune de Cinema de Artă (Elvire Popesco)",social,low
148,"Classic Film at Cinemateca Eforie","Film Clasic la Cinemateca Eforie",learning,low
149,"Tea Tasting & Ceremony (Cotroceni Teahouses)","Degustare și Ceremonie de Ceai (Ceainăriile din Cotroceni)",culinary,low
150,"Express Beauty Reset (GETT'S Color Bar – malls)","Reîmprospătare Express de Frumusețe (GETT'S Color Bar – centre comerciale)",wellness,low
151,"Self-Guided Architecture Audio Walk (Old Town)","Plimbare Audio Arhitecturală cu Ghid Propriu (Centrul Vechi)",learning,low
152,"Full-Day Thermal & Sauna at Therme București","Zi Întreagă la Terme cu Saună la Therme București",wellness,low
153,"Thai Massage & Aromatherapy (THAIco Spa Dorobanți)","Masaj Thai și Aromaterapie (THAIco Spa Dorobanți)",wellness,low
154,"Orchid Thai Spa – Aromatherapy Ritual","Orchid Thai Spa – Ritual de Aromaterapie",wellness,low
155,"Ana Spa Daypass at Crowne Plaza","Trecere de o zi la Ana Spa de la Crowne Plaza",wellness,low
156,"Halotherapy Day at Slănic Prahova Salt Mine","Zi de Haloterapie la Mina de Sare Slănic Prahova",wellness,low
157,"Quick Reset: Cișmigiu Gardens Quiet Loop & Bench 7","Resetare Rapidă: Buclă Liniștită în Grădina Cișmigiu & Banca 7",nature,low
158,"Quick Reset: Carol Park Mausoleum Viewpoint Bench","Resetare Rapidă: Banca cu Vedere la Mausoleul din Parcul Carol",nature,low
159,"Quick Reset: Botanical Garden Rosarium Loop","Resetare Rapidă: Buclă în Rozariul Grădinii Botanice",nature,low
160,"Quick Reset: Kiseleff Shaded Boulevard Benches","Resetare Rapidă: Bănci pe Bulevardul Kiseleff la Umbră",nature,low
161,"Quick Reset: Titan (A.I. Cuza) Lakeside – Insula Artelor","Resetare Rapidă: Lacul Titan (A.I. Cuza) – Insula Artelor",nature,low
162,"Quick Reset Café: Steam Coffee Shop Victoriei","Resetare Rapidă la Cafea: Steam Coffee Shop Victoriei",culinary,low
164,"Quick Reset Café: FRUDISIAC","Resetare Rapidă la Cafea: FRUDISIAC",culinary,low
165,"Quick Reset Café: TROFIC (City Center)","Cafeneaua Rapidă Reset: TROFIC (City Center)",culinary,low
166,"Micro-Visit: MNAR European Gallery (1 Room)","Micro-Vizită: Galeria Europeană MNAR (1 Sală)",creative,low
167,"Micro-Visit: Museum of Maps – 1 Gallery","Micro-Vizită: Muzeul Hărților – 1 Galerie",creative,low
168,"Micro-Visit: Antipa – One Hall Only (Coral & Fish)","Micro-Vizită: Antipa – O Singură Sală (Corali și Pești)",learning,low
169,"Pottery Workshop (Urban Crafts/Extasy)","Atelier de Olărit (Meșteșuguri Urbane/Extasy)",creative,low
170,"Painting Class at Atelier Pastel (Dorobanți)","Clasă de Pictură la Atelier Pastel (Dorobanți)",creative,low
171,"Modern Calligraphy – Fundația Calea Victoriei","Caligrafie Modernă – Fundația Calea Victoriei",creative,low
172,"Embroidery & Traditional Motifs – FCV","Broderie și Motive Tradiționale – FCV",creative,low
173,"Sewing Basics – Atelierele ILBAH","Noțiuni de Bază la Croitorie – Atelierele ILBAH",creative,medium
174,"Halotherapy in urban salt rooms","Haloterapie în Camere de Sare Urbane",wellness,low
175,"Aromatherapy & natural perfume workshop","Atelier de aromaterapie & parfum natural",wellness,low
176,"Sound bath with gongs & bowls","Baie sonoră cu gonguri și boluri",mindfulness,low
177,"Guided meditation session","Sesiune ghidată de meditație",mindfulness,low
178,"Breathwork fundamentals (Wim Hof/box/paced)","Fundamentele respirației (Wim Hof/cutie/pași)",mindfulness,medium
179,"Quick reset: Saint Roastery coffee stop","Resetare rapidă: Oprire la Saint Roastery",culinary,low
180,"Quick reset: Two Minutes Coffee Shop","Resetare rapidă: Cafeneaua Two Minutes",culinary,low
181,"Quick reset: BOB Coffee Lab (Charles de Gaulle)","Resetare rapidă: BOB Coffee Lab (Charles de Gaulle)",culinary,low
182,"Quick reset: Throwback Dorobanți","Resetare rapidă: Throwback Dorobanți",culinary,low
183,"Micro-visit: Zambaccian Museum (one-gallery focus)","Micro-vizită: Muzeul Zambaccian (focus pe o singură galerie)",creative,low
184,"Micro-visit: Theodor Aman Museum","Micro-vizită: Muzeul Theodor Aman",creative,low
185,"Quiet bench: Parcul Circului (Lotus Lake)","Bancă liniștită: Parcul Circului (Lotus Lake)",nature,low
186,"Quiet bench: Grădina Icoanei","Bancă liniștită: Grădina Icoanei",nature,low
187,"Photo spot & sit: Izvor Park Parliament view","Punct foto & stat: Vedere spre Parlament în Parcul Izvor",nature,low
188,"Mini-walk & overlook: Tineretului Park","Mini-plimbare & punct de vedere: Parcul Tineretului",nature,medium
189,"Botanical Garden: Palmhouse & remedy garden loop","Grădina Botanică: Buclă Casa Palmierilor & grădina de remedii",nature,low
190,"Pottery basics: hand-building & glazing","Ceramică de bază: modelare și emailare",creative,medium
191,"Wheel-throwing taster at CUBUL","Inițiere la roată la CUBUL",creative,medium
192,"Evening acrylic painting class (Rodia Art Studio)","Clasă de pictură în acril seara (Rodia Art Studio)",creative,low
193,"Paint-your-own pottery (MadeByYou)","Pictează-ți propria ceramică (MadeByYou)",creative,low
194,"Calligraphy & lettering workshop","Atelier de caligrafie și literație",creative,low
195,"Knitting & crochet at a textile atelier","Tricotaj și croșetat la un atelier textil",creative,low
196,"Wellness visit: Salina Turda (salt mine)","Vizită de wellness: Salina Turda",wellness,low
198,"Basketball Court Booking (Full Court Run)","Rezervare Teren de Baschet (Meci Complet)",sports,high
199,"Indoor Volleyball Session","Sesiune de Volei în Interior",sports,high
200,"Boxing Gym Session (Pads & Bag)","Sesiune de Box (Labe și Sac)",sports,high
203,"Tennis Lesson Or Court (Herăstrău)","Lecție de Tenis sau Teren (Herăstrău)",sports,high
204,"Footvolley/Beach Football On Sand","Fotvolei/Fotbal pe Nisip",sports,high
205,"Rugby Intro Session (Non-contact Basics)","Sesiune Introductivă de Rugby (Baze Fără Contact)",sports,high
206,"Ultimate Frisbee Pickup Night","Seară de Ultimate Frisbee",sports,high
207,"Dodgeball League Night","Seară de Dodgeball",sports,high
208,"Handball Pickup (Full-Court)","Handbal Pickup (Teren Întreg)",sports,high
210,"Muay Thai/Kickboxing Class","Clasă de Muay Thai/Kickboxing",sports,high
211,"50m Lap Swim (Olympic Pool)","Înot în lungime de 50m (Bazin Olimpic)",sports,medium
212,"Track Session (Iolanda Balaș-Soter)","Sesiune de Pistă (Iolanda Balaș-Soter)",sports,high
213,"Fencing Intro: Foil Basics","Introducere în Scrimă: Bazele Floretei",sports,high
214,"Table Tennis Club Session","Sesiune de Club Tenis de Masă",racket_sports,high
215,"Pickleball Social Play","Joc Social Pickleball",racket_sports,high
216,"Beach Tennis Doubles","Tenis de Plajă Dublu",racket_sports,high
217,"Guided Mountain Biking — Postăvarul Peak","Mountain Bike Îndrumat — Vârful Postăvarul",adventure,high
218,"Outdoor Rock Climbing Day","Zi de Escaladă în Exterior",adventure,high
219,"Via Ferrata “Casa Zmeului”","Via Ferrata 'Casa Zmeului'",adventure,high
220,"Guided Hike — Omu Peak (Bucegi)","Traseu Ghidat - Vârful Omu (Bucegi)",adventure,high
221,"Trail Running Clinic (Brașov)","Curs de Alergare pe Traseu (Brașov)",adventure,high
222,"Park Orienteering Challenge","Provocarea de Orientare în Parc",sports,high
223,"Bungee Jump (Râșnoavei Gorge)","Salt cu Coarda Elastică (Cheile Râșnoavei)",adventure,high
224,"Paragliding Tandem (Bunloc)","Planorism în Tandem (Bunloc)",adventure,high
225,"ATV/Quad Biking (Cernica Forest)","ATV/Quad Biking (Pădurea Cernica)",adventure,high
226,"Paintball Skirmish (Woodland Maps)","Luptă cu Paintball (Hărți de Pădure)",adventure,high
227,"Boxing Fitness (No Sparring)","Fitness de Box (Fără Luptă)",fitness,high
228,"Indoor Cycling (Beat-Driven Ride)","Ciclism Interior (Plimbare Condusă de Ritm)",fitness,high
229,"Outdoor Bootcamp (Total Body)","Antrenament în Aer Liber (Total Body)",fitness,high
230,"F45 HIIT Team Training","Antrenament de Echipă F45 HIIT",fitness,high
231,"Zumba Dance Fitness","Zumba Dans Fitness",fitness,high
232,"Calisthenics Park Training (Parc Tei)","Antrenament de Calisthenics în Parc (Parc Tei)",fitness,high
233,"Obstacle Course/Ninja Training","Curs de Obstacole/Antrenament Ninja",fitness,high
234,"Stand-Up Paddle (City Session)","Paddle Board (Sesiune Urbană)",water,high
235,"Surfing Lesson (Black Sea)","Lecție de Surfing (Marea Neagră)",water,high
236,"Windsurfing Intro (Mamaia)","Inițiere în Windsurf (Mamaia)",water,high
275,"Scuba Diving — Discover Scuba (DSD)","Scufundări — Descoperă Scuba (DSD)",water,high
276,"Traditional Rowing (Canotcă) Basics","Canotcă Tradițională — Noțiuni de Bază",water,high
315,"Tandem Skydive at Clinceni (TNT Brothers)","Salt în Tandem cu Parașuta la Clinceni (TNT Brothers)",adventure,high
316,"Track Day Laps at MotorPark Romania","Ture pe Circuit la MotorPark Romania",motorsports,high
317,"High Ropes & Mega Ziplines (Parc Aventura Brașov)","Traseul cu Frânghii Înalte și Telegondole Mega (Parc Aventura Brașov)",adventure,high
318,"Outdoor Karting Session (AMCKart Tunari)","Sesiune de Karting în Aer Liber (AMCKart Tunari)",motorsports,high
319,"Jet Ski Bursts on Lake Siutghiol (JT Watersports Mamaia)","Curse cu Jet Ski pe Lacul Siutghiol (JT Watersports Mamaia)",water,high
320,"Via Ferrata Casa Zmeului (Vadu Crișului)","Via Ferrata Casa Zmeului (Vadu Crișului)",adventure,high
321,"Via Ferrata Hili's Cave (Cheile Turzii)","Via Ferrata Peștera Hili (Cheile Turzii)",adventure,high
322,"Downhill & Enduro Runs (Postăvaru Bike Park)","Coborâri Downhill și Enduro (Postăvaru Bike Park)",adventure,high
738,"Buzău River Whitewater Rafting (Class III–IV) with Green Adventure","Rafting pe Râul Buzău (Clasa III–IV) cu Green Adventure",water,high
739,"Jiu Gorge Whitewater Rafting (Class III–IV)","Rafting pe Defileul Jiului (Clasa III–IV)",water,high
740,"Via Ferrata Casa Zmeului – Vadu Crișului","Via Ferrata Casa Zmeului – Vadu Crișului",adventure,high
741,"Via Ferrata Pietrele Negre – Vârtop (Apuseni)","Via Ferrata Pietrele Negre – Vârtop (Apuseni)",adventure,high
742,"Seven Ladders Canyon Tyrolean Zipline (Dâmbul Morii)","Tiroliana din Canionul Șapte Scări (Dâmbul Morii)",adventure,high
743,"Paragliding Tandem Flight – Bunloc Take-off (Brașov)","Zbor în Tandem cu Parapanta – Decolare Bunloc (Brașov)",adventure,high
744,"Tandem Skydive – Tuzla Aerodrome (Black Sea)","Salt în Tandem cu Parașuta – Aerodromul Tuzla (Marea Neagră)",adventure,high
745,"Kitesurfing Lessons – H2O Kiteboarding Mamaia","Lecții de Kitesurfing – H2O Kiteboarding Mamaia",water,high
746,"Downhill MTB – Bike Resort Sinaia","Coborâre cu Mountain Bike-ul – Bike Resort Sinaia",sports,high
747,"Outdoor Go-Karting – AMCKart (1.24 km CIK-FIA Track)","Karting în Aer Liber – AMCKart (Pistă CIK-FIA de 1;24 km)",motorsports,high
748,"Backcountry Snowmobile Tour – Harghita-Mădăraș","Tur cu Snowmobilul în Teren Neprelucrat – Harghita-Mădăraș",winter,high
749,"ATV/Quad Off-Road Tour – Zărnești & Plaiul Foii","Tur cu ATV/Quad în Teren Accidentat – Zărnești & Plaiul Foii",motorsports,high
750,"Rock Ridge Climb – Acele Morarului (Bucegi)","Alpinism pe Creasta Rock Ridge – Acele Morarului (Bucegi)",adventure,high
751,"First-Time Caving – Apuseni Mountains (Guided)","Primă Inițiere în Speologie – Munții Apuseni (Ghidat)",adventure,high
794,"Tandem Skydiving over Cluj with Skydive Transilvania","Salt în Tandem cu Parașuta deasupra Clujului cu Skydive Transilvania",adventure,high
795,"Drift Taxi & Hot Laps at Academia Titi Aur","Drift Taxi și Tururi Rapide la Academia Titi Aur",motorsports,high
796,"Outdoor Karting Sprints at Prejmer Raceway","Sprinturi de Karting în Aer Liber la Pista Prejmer",motorsports,high
797,"High Ropes & Mega Ziplines at Adrenalin Park","Curse Înalte pe Frânghii și Zboruri cu Tiroliana la Adrenalin Park",adventure,high
798,"Zipline & Rope Courses at Comana Adventure Park","Tiroliene și Trasee pe Frânghii la Parcul de Aventură Comana",adventure,high
799,"Via Ferrata Wild Ferenc in Bicaz Gorges","Via Ferrata Wild Ferenc în Cheile Bicazului",adventure,high
800,"Guided Canyoning in Valea lui Stan (Vidraru)","Canyoning Ghidat în Valea lui Stan (Vidraru)",adventure,high
801,"Full-Size Cable Wakeboarding at A2Wake (km 49 A2)","Wakeboarding pe Cablu la Dimensiune Completă la A2Wake (km 49 A2)",water,high
802,"Cluj Tandem Paragliding at Feleacu","Zbor Tandem cu Parașuta la Feleacu; Cluj",adventure,high
803,"Black Sea Intro Dive with Marine Explorers","Scufundare introductivă la Marea Neagră cu Exploratori Marini",water,high
859,"Bâlea Ski Mountaineering Clinic (Făgăraș)","Clinică de Schi Montan la Bâlea (Făgăraș)",winter,high
860,"Făgăraș Ski Touring Week (High Alpine)","Săptămână de Schi cu Schi Montan în Făgăraș (Alpin Înalt)",winter,high
861,"Retezat Backcountry Ski (6-Day)","Schi în Zona Sălbatică din Retezat (6 Zile)",winter,high
862,"Harghita Husky Dog-Sledding Ride","Plimbare cu Sania trasă de Câini Husky în Harghita",winter,high
863,"Azuga Guided Snowmobile Ride","Plimbare ghidată cu snowmobilul în Azuga",winter,high
864,"Bâlea Ice Climbing Intro","Inițiere în Escalada pe Gheață la Bâlea",winter,high
865,"Făgăraș Winter Mountaineering Weekend","Weekend de Alpinism Iarna în Făgăraș",winter,high
866,"Bucegi Ski Touring (Busteni/Sinaia)","Schi Montan în Bucegi (Bușteni/Sinaia)",winter,high
867,"Poiana Brașov Steep Snowshoe Traverse","Traversarea cu Rachetele de Zăpadă pe Pârtia Abruptă din Poiana Brașov",winter,high
868,"Avalanche Skills & Freetouring – Bâlea","Abilități de Avalanșă și Freetouring – Bâlea",winter,high
