activity_id,activity_name,city,region,category
185,Quiet bench: Parcul Circului (Lotus Lake),Bucharest,București,mindfulness
186,Quiet bench: Grădina Icoanei,Bucharest,București,mindfulness
187,Photo spot & sit: Izvor Park Parliament view,Bucharest,București,mindfulness
188,Mini-walk & overlook: Tineretului Park,Bucharest,București,mindfulness
189,Botanical Garden: Palmhouse & remedy garden loop,Bucharest,București,nature
190,Pottery basics: hand-building & glazing,Bucharest,București,creative
191,Wheel-throwing taster at CUBUL,Bucharest,București,creative
192,Evening acrylic painting class (Rodia Art Studio),Bucharest,București,creative
193,Paint-your-own pottery (MadeByYou),Bucharest,București,creative
194,Calligraphy & lettering workshop,Bucharest,București,creative
195,Knitting & crochet at a textile atelier,Bucharest,București,creative
196,Wellness visit: Salina Turda (salt mine),Turda,Cluj,wellness
198,Basketball Court Booking (Full Court Run),Bucharest,București,sports
1893,Alt & Electronic Nights at Control Club,Bucharest,București,nightlife
1894,Tech-House Marathon at Kristal Glam Club,Bucharest,București,nightlife
1895,Student Night at Kulturhaus Bucharest,Bucharest,București,nightlife
1896,BOA (Beat of Angels) Hip-Hop & R&B Night,Bucharest,Herăstrău / Kiseleff,nightlife
1897,House Night at Fratelli Lounge & Club,Bucharest,Herăstrău,nightlife
1898,Rooftop Cocktails at NOMAD Skybar,Bucharest,Old Town,nightlife
1899,Rooftop Sundowners at Linea / Closer to the Moon,Bucharest,Old Town,nightlife
1900,Live Band & Karaoke at Mojo Music Club,Bucharest,Old Town,nightlife
1901,Intimate Jazz Night at Green Hours,Bucharest,Old Town,nightlife
1902,Stand-Up Night at The Fool Comedy Club,Bucharest,Centru,social
1903,KIKI Lounge & Bar (LGBTQ+ friendly) Cocktails,Bucharest,Old Town,nightlife
1904,Queens Club LGBTQ+ Night,Bucharest,Centru,nightlife
1905,Berăria H Beer Hall & Live Shows,Bucharest,Old Town,nightlife
1906,Hookah & Lounge at Macca-Villacrosse (Hugo),Bucharest,Old Town,social
1907,Board-Game Evening at Snakes & Wizards,Bucharest,Centru,social
1908,Craft Beers at Beer O'Clock,Bucharest,Lipscani,nightlife
1909,Sports & Pints at St. Patrick Irish Pub,Bucharest,Lipscani,nightlife
1910,Alt-Rock & Indie Nights at Expirat,Bucharest,Centru,nightlife
1911,Live Jazz Sessions at The JAZZ BOOK,Bucharest,Old Town,nightlife
1912,Live Anthems at Hard Rock Cafe Bucharest,Bucharest,Old Town,nightlife
1913,Peak Weekend at FACE Club,Bucharest,Centru,nightlife
1914,Foraged Cocktails at FIX Me a Drink,Bucharest,Centru,nightlife
1915,Origo Cocktail Evenings (Old Town),Bucharest,Old Town,nightlife
1916,High-Gloss Nights at E3 by Entourage,Bucharest,Herăstrău,nightlife
1917,Uanderful: Floreasca Lounge & Late Drinks,Bucharest,Floreasca,nightlife
1918,City-High Cocktails at NOR Sky (SkyTower),Bucharest,Floreasca,nightlife
1919,Sunset Rooftops at 18 Lounge (City Gate),Bucharest,Barbu Văcărescu,nightlife
1920,LINEA / Closer to the Moon Rooftop,Bucharest,Old Town,nightlife
1921,Mojo: Karaoke & Live Band Nights,Bucharest,Old Town,nightlife
1922,SHOTERIA Old Town: Rapid-Fire Shots,Bucharest,Old Town,nightlife
1923,Beluga: Music & Cocktails (Old Town),Bucharest,Lipscani,nightlife
1924,Fire Club: Rock & Alternative,Bucharest,Lipscani,nightlife
1925,St. Patrick Irish Pub: Sports & Pints,Bucharest,Lipscani,nightlife
1926,Beer O'Clock: Craft & Imports,Bucharest,Lipscani,nightlife
1927,Bruno Wine Bar: Cellar Vibes,Bucharest,Lipscani,nightlife
1928,Club Șurubelnița: Underground Party Bar,Bucharest,Universitate,nightlife
1929,Quantic: Rock & Metal Live,Bucharest,Cotroceni,nightlife
1930,Infinity Hookah Lounge (Eminescu),Bucharest,Obor & Romana,social
1931,Nova Lounge & Hookah (Ferdinand),Bucharest,Obor & Romana,social
1933,Trickshot AFI Cotroceni: Lanes & Cocktails,Bucharest,Cotroceni,social
1935,KLANdestin: IOR Park View Drinks,Bucharest,Titan,social
1936,Sports Bar Titan: Billiards & Darts,Bucharest,Titan,social
1937,Pura Vida Sky Bar (Old Town),Bucharest,Old Town,nightlife
1938,Halftime Sports Pub (Gabroveni),Bucharest,Lipscani,nightlife
1939,Evening Lanes at Dinamo Olympic Pool,Bucharest,Floreasca,social
1940,Sunset Splash at Magic Place Aqua Park,Bucharest,Crângași,social
1941,Club Swim & Sun at Stejarii Country Club,Bucharest,Băneasa / Herăstrău,social
1942,After-Work Dip at Daimon Wellness (Tineretului),Bucharest,Tineretului,social
1943,Laps & Steam at Crowne Plaza ANA Spa,Bucharest,Romexpo / Herăstrău,social
1944,City-Centre Swim at Novotel Wellness,Bucharest,City Centre / Universitate,social
1945,Campus Swim at Carol Davila Pool (Cotroceni),Bucharest,Cotroceni / Eroilor,social
1946,Affordable Lengths at Olimpia (Iancului),Bucharest,Iancului / Muncii,social
1947,Semi-Olympic Session at World Class Mega Mall (Pantelimon),Bucharest,Pantelimon / Arena Națională,social
1948,Grand Lanes at World Class The Grand (JW Marriott),Bucharest,Cotroceni / 13 Septembrie,social
1949,Flying Circus Alt Nights,Cluj-Napoca,Centru,nightlife
1950,Steampunk Cocktails at Joben,Cluj-Napoca,Centru,nightlife
1951,D'Arc Unirii Sessions,Timișoara,Cetate,nightlife
1952,Scârț Loc Lejer Living-Room Lounge,Timișoara,Elisabetin,social
1953,Viniloteca: Wine & Wax Nights,Timișoara,Central,nightlife
1954,Moszkva Oradea Alt Scene,Oradea,Centru,nightlife
1955,Lokal Oradea Rooftop Sundowners,Oradea,Centru,nightlife
1956,Music Pub Sibiu Rock Nights,Sibiu,Centru,nightlife
1957,Underground The Pub: Iași Rock Cellar,Iași,Centru,nightlife
1958,Jazz & Blues Club Târgu Mureș,Târgu Mureș,Centru,nightlife
1959,EGO Mamaia Beach Club Nights,Constanța (Mamaia),Mamaia,nightlife
1960,Expirat Vama Veche Beach Sessions,Vama Veche,Beachfront,nightlife
1961,Tipografia Culture Bar,Brașov,Centru,nightlife
1962,Yolka Skybar Sundowners,Cluj-Napoca,Centru,nightlife
1963,VIP Glam Night at BOA - Beat of Angels,Bucharest,Herăstrău / Kiseleff,nightlife
1964,Premium Party at NOA – Nest of Angels,Cluj-Napoca,Republicii / Zorilor,nightlife
1965,High-End Night at Epic Society,Timișoara,Cetate / Str. Miresei,nightlife
1966,Metal Nights at Rockstadt,Brașov,Centru (Nicolae Titulescu),nightlife
1967,Live Jazz at Jazz & Blues Club,Târgu Mureș,Str. Sinaia,nightlife
1968,Concert Night at Doors Club,Constanța,Str. Traian / Centru,nightlife
1969,Beach Club Night at EGO Mamaia,Mamaia,Mamaia Nord,nightlife
1970,Fratelli Beach & Club – House by the Sea,Mamaia (Constanța),Mamaia Nord,nightlife
1971,Fratelli Iași – Luxe Mixed Music Night,Iași,Palas / Morilor,nightlife
1972,Euphoria Music Hall – Big-Room Live & Party,Cluj-Napoca,Bulgaria / 1 Decembrie 1918,nightlife
