slug,name,category,subtypes,description,city,region,latitude,longitude,duration_min,duration_max,seasonality,indoor_outdoor,energy_level,tags_experience_level,tags_mood,tags_terrain,tags_equipment,tags_context,tags_requirement,tags_risk_level,tags_weather_fit,tags_time_of_day,tags_travel_time_band,tags_skills,tags_cost_band,hero_image_url,source_url,notes
parc-aventura-brasov-zipline,Parc Aventura Brașov Zipline & Ropes,adventure,"zipline,adventure_park,obstacle_course",Challenge yourself on multiple high-rope courses and long ziplines among tall pines by Lake Noua. Routes color-coded by difficulty suit families and thrill-seekers. Gloves provided; wear sporty clothing and closed shoes.,Brașov,Brașov,45.6112,25.645,120,180,summer,outdoor,high,mixed,"adrenaline,adventurous,social","forest,urban,hill","helmet,harness,provided","family,friends,group","booking-optional,guide-optional",moderate,"wind_sensitive,heat_sensitive",daytime,"in-city,nearby",balance,$,https://www.parc-aventura.ro/,https://www.parc-aventura.ro/,Located by Lake Noua in Brașov.
black-sea-sea-kayaking-mangalia,Black Sea Sea-Kayaking (Mangalia),water,"kayaking,sea_kayak,lesson","Paddle the Black Sea coastline near Mangalia on a guided sea-kayak outing. Learn basic strokes, launch through small surf, and explore coves depending on weather. Suitable for beginners in calm conditions; wind and swell dependent.",Mangalia,Constanța,43.8095,28.5826,120,180,summer,outdoor,medium,beginner,"adventurous,explorer","coast,sea,resort","kayak,rental-gear,provided","small-group,friends","booking-required,guide-required",moderate,"wind_sensitive,heat_sensitive","daytime,sunrise,sunset",day-trip,"balance,technique",$$,https://www.blackseapaddlers.com/,https://www.kayakworld.ro/en/black-sea-paddlers/,Operator lists Mangalia HQ; routes depend on weather/sea state.
bucharest-electronic-club-night,Electronic Club Night in Bucharest,nightlife,"electronic_music,dj,club","Bounce between Bucharest's underground electronic hotspots for a late session of techno, house and indie sets. Expect strong sound systems, rotating international lineups and crowds that dance till sunrise. Dress casual-cool, grab tickets in advance for headline nights, or rock up early for entry.",Bucharest,București,44.4329,26.1063,180,360,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://www.tripadvisor.com/Attraction_Review-g294458-d7052255-Reviews-Control_Club-Bucharest.html,Use Control/Expirat as venues
cluj-live-music-night,Cluj Live Music & Club Night,nightlife,"live_music,dj,club","Catch a headliner or DJ set in Cluj's buzzing venues. Start with a live show, then slide into an after-hours dance floor. The city's students and creatives keep the vibe energetic yet friendly, with events most weekends.",Cluj-Napoca,Cluj,46.7712,23.6236,180,300,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://formspace.ro/,FORM Space + Club Midi venues
timisoara-club-night,Timisoara Club Night,nightlife,"dj,club","Dress sharp(ish) and dive into Timișoara's sleek club scene for chart, electronic and hip-hop nights. Bottle service available but not required; most venues run late with guest DJs most Fridays and Saturdays.",Timișoara,Timiș,45.7489,21.2087,180,300,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://www.facebook.com/crossfittimisoara/,Use Epic Society/D'Arc as venues
iasi-night-out,Iași Night Out (Bars & Clubs),nightlife,"bar_hopping,club","Sip cocktails in stylish lounges then hit a dance floor in one of Iași's clubs. Weekends bring themed parties, guest DJs and packed dance floors; weeknights skew chiller with live acts and cocktails.",Iași,Iași,47.1585,27.6014,150,300,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://fratelli.ro/,Fratelli + Underground the Pub venues
bucharest-escape-room-challenge,Bucharest Escape Room Challenge,social,"escape_room,puzzle","Race the clock with friends through cinematic sets and clever puzzles in Bucharest's largest escape venues. Choose difficulty and themes, book a private room, and celebrate your breakout with a drink nearby.",Bucharest,București,44.4405,26.1129,60,90,all,indoor,medium,mixed,"social,adrenaline",urban,none,"friends,group,team",booking-required,low,all_weather,any,in-city,"technique,none_required",$$,,https://www.trapped.ro/en/,Multiple locations available
cluj-escape-room-adventure,Cluj Escape Room Adventure,social,"escape_room,puzzle",Tackle story-driven missions in Cluj with automated props and movie-set vibes. It's a teamwork workout with brainy challenges; great for small groups and corporate teams alike.,Cluj-Napoca,Cluj,46.772,23.589,60,90,all,indoor,medium,mixed,"social,explorer",urban,none,"friends,group,team",booking-required,low,all_weather,any,in-city,"technique,none_required",$$,,https://www.escapefactory.ro/,Escape Factory + The Mystery venues
bucharest-yoga-class,Bucharest Yoga Class (Vinyasa/Hatha),fitness,"yoga,group_class","Reset with an all-levels flow in central studios. Experienced instructors guide breathwork, alignment and gentle strength. Mats provided at most studios; book morning or evening sessions to suit your schedule.",Bucharest,București,44.441,26.097,60,90,all,either,chill,beginner,"mindful,relaxed",urban,provided,"solo,small-group",booking-required,low,all_weather,"morning,evening",in-city,none_required,$$,,https://purnayogaacademy.com/yoga-classes/,Use Purna + Yoginovate venues
cluj-crossfit-session,CrossFit Session in Cluj,fitness,"crossfit,hiit","Power through a coached WOD focusing on functional strength, conditioning and mobility. Scaled movements welcome—perfect for travelers wanting a serious sweat and a supportive community.",Cluj-Napoca,Cluj,46.7722,23.612,60,75,all,indoor,high,mixed,"adrenaline,social",urban,none,"solo,group,friends",booking-recommended,moderate,all_weather,morning,in-city,"endurance,technique",$$,,https://smartmovecrossfit.ro/,Two central locations
bucharest-crossfit-session,CrossFit Session in Bucharest,fitness,"crossfit,hiit","Hit a high-intensity class with certified coaches, barbells and rigs. Visitors can drop into community WODs or book personal training to tune technique.",Bucharest,București,44.493,26.064,60,75,all,indoor,high,mixed,"adrenaline,social",urban,none,"solo,group,friends",booking-recommended,moderate,all_weather,morning,in-city,"endurance,technique",$$,,https://crossfit-bucharest.com/,CrossFit Nord BVS + CrossFit Bucharest venues
oradea-thermal-aqua-day,Oradea Thermal Aqua Day (Aquaparks),wellness,"thermal_spa,sauna,waterslides","Soak in mineral-rich pools, rotate steam/sauna circuits and hit slides if you want thrills. Family-friendly zones and adult relaxation areas make this a great wellness-plus-fun day in Oradea & Băile Felix.",Oradea,Bihor,47.0722,21.9211,180,360,all,indoor,medium,beginner,"relaxed,cozy","urban,resort",provided,"family,group,solo",booking-recommended,low,all_weather,daytime,nearby,none_required,$$,,https://www.aquapark-nymphaea.ro/,Pair with Aqua Park President Felix
sovata-salt-lake-spa-day,Sovata Bear Lake & Spa Day,wellness,"salt_lake,spa,sauna",Float effortlessly in saline waters and alternate with saunas and Kneipp pools at Ensana Sovata. Classic balneary treatments are available alongside modern wellness programs.,Sovata,Mureș,46.5850,25.0740,120,240,all,either,chill,beginner,"mindful,relaxed,romantic","resort,lake",provided,"solo,date,small-group",booking-required,low,all_weather,daytime,day-trip,none_required,$$,,https://ensanahotels.com/en/hotels/sovata/spa,Check seasonal maintenance notes
balvanyos-forest-spa-ritual,Balvanyos Forest Spa Ritual,wellness,"thermal_circuit,spa","Hide away in a pine-ringed spa with outdoor hot tubs, thermal circuits and treatment rooms blending wood, stone, water and fire. Ideal for couples or a serene solo reset.",Balvanyos,Covasna,46.0550,26.1250,120,240,all,either,chill,beginner,"romantic,cozy,mindful","forest,resort,hill",provided,"date,solo",booking-required,low,all_weather,"daytime,evening",day-trip,none_required,$$$,,https://balvanyosresort.ro/en/spa/,Grand Santerra Spa
black-sea-kayaking-constanta,Black Sea Coastal Kayaking Coaching,water,"sea_kayak,lesson","Paddle along the Dobrogea coast with a certified sea-kayak coach. Learn strokes, safety and navigation as you explore cliffs and coves when conditions allow. All kit provided; sessions tailored to level.",Constanța,Constanța,44.1805,28.6348,120,240,summer,outdoor,medium,mixed,"adventurous,explorer",coast,provided,"small-group,solo",guide-required,moderate,wind_sensitive,"daytime,sunset",day-trip,"technique,balance",$$,,https://www.celticpaddles.com/expedition-centres/black-sea-paddlers,Operated by Black Sea Paddlers (Mangalia base)
snagov-wakeboarding-session,Wakeboarding Session near Bucharest,water,"wakeboard,boat_tow",Carve Snagov or a private lake on a coached wake set. Beginners get 1-to-1 instruction and safety gear; riders can push tricks with progressive coaching. Great summer adrenaline hit close to the city.,Snagov,Ilfov,44.7250,26.1850,60,90,summer,outdoor,high,mixed,"adrenaline,adventurous","lake,resort",provided,"solo,friends",lesson-recommended,moderate,wind_sensitive,daytime,nearby,"balance,technique",$$$, ,https://www.ski-nautic.ro/,Also see TRQZ Lake
golf-transylvania-intro,Intro to Golf in Transylvania,sports,"golf,driving_range,lesson","Learn grip, stance and swing on a driving range before testing short game on academy holes. Friendly coaches and calm countryside make this an approachable first step into golf.",Apahida,Cluj,46.8806,23.3972,60,120,shoulder,outdoor,medium,beginner,"creative,relaxed,explorer","valley,hill,resort",rental-gear,"solo,small-group",lesson-recommended,low,ok_in_rain,daytime,day-trip,"technique,balance",$$,,https://www.transilvaniagolf.ro/contact.php,GPS provided by club
bucharest-lake-boat-date,Romantic Boat Ride on Herăstrău Lake,romance,"boat_ride,sightseeing",Glide past green isles and city skyline on a private or shared lake cruise. Golden-hour trips are perfect for proposals or a relaxed date; book the classic 'Lăstunul' boat or rent a rowboat/pedalo.,Bucharest,București,44.4763,26.0832,45,60,summer,either,chill,beginner,"romantic,cozy,relaxed","urban,lake,park",provided,"date,small-group",booking-optional,low,heat_sensitive,"sunset,evening",in-city,none_required,$$,,https://www.herastrau.ro/en/,Boat rides operate spring–autumn
cluj-hot-air-balloon,Hot Air Balloon Flight near Cluj,romance,"hot_air_balloon,scenic",Lift off for a gentle flight over Transylvanian hills at sunrise or sunset. Share a basket as the pilot follows the winds; land for a celebratory toast and photos.,Cluj-Napoca,Cluj,46.7270,23.6200,60,90,shoulder,outdoor,chill,beginner,"romantic,adventurous","valley,hill",provided,"date,small-group",booking-required,moderate,wind_sensitive,"sunrise,sunset",day-trip,none_required,$$$,,https://wonderland.ro/en/activities/hot-air-balloon/,Also see Sky Fantasy operator
sibiu-christmas-market,Christmas Market Sibiu (Piața Mare),seasonal,"christmas_market,ice_rink","Wander one of Romania's most charming Christmas markets under twinkling lights. Sip vin fiert, browse crafts and ride the Ferris wheel and carousel. Perfect for families and cozy dates.",Sibiu,Sibiu,45.7930,24.1510,60,180,winter,either,chill,beginner,"cozy,romantic,social","urban,park",none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://targuldecraciun.ro/,2025 season Nov 14–Jan 4
cluj-christmas-market,Christmas Market Cluj-Napoca (Piața Unirii),seasonal,"christmas_market,ice_rink","A festive village in Union Square with local makers, carols and skating. Warm your hands on kürtőskalács and mulled wine between photo-ops at the big tree.",Cluj-Napoca,Cluj,46.7706,23.5899,60,180,winter,either,chill,beginner,"cozy,social,romantic",urban,none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://www.europeanbestdestinations.com/christmas-markets/cluj-napoca/,Dates typically late Nov–early Jan
bucharest-christmas-market,Christmas Market Bucharest (Constitution Square),seasonal,"christmas_market,concerts","Big city atmosphere with stages, food alleys and artisan stalls in front of the Parliament. Visit evenings for light shows and live music.",Bucharest,București,44.4263,26.0880,60,180,winter,either,chill,beginner,"cozy,social,romantic",urban,none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://www.bucharestchristmasmarket.ro/en/about/,Hours listed by organizers
timisoara-christmas-market,Christmas Market Timișoara (Victory Square),seasonal,"christmas_market,ice_rink","Wooden chalets, folk music and a Ferris wheel light up the center. Snack your way through local sweets and enjoy nightly performances.",Timișoara,Timiș,45.7537,21.2257,60,150,winter,either,chill,beginner,"cozy,social",urban,none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://ultimatechristmasmarkets.com/romania/timisoara-christmas-market/,Recent 2025 guide
therme-bucharest-thermal-spa-day,Therme București Thermal Spa Day,wellness,"thermal_spa,sauna,wellness","Spend a full day rotating warm mineral pools, themed saunas, and tropical palm zones at Europe's largest wellness complex. Families enjoy Galaxy slides while couples relax in quiet areas. Book day passes or evening access; robes and towels available for rent on site.",Balotești,Ilfov,44.6054,26.0806,120,480,all,either,medium,beginner,"relaxed,cozy,romantic","resort,urban",provided,"family,date,friends,accessible",booking-optional,low,all_weather,"daytime,evening",nearby,none_required,$$,,https://therme.ro/en,Near OTP airport; easy taxi from Bucharest
bucharest-pub-crawl,Bucharest Pub Crawl,nightlife,"pub_crawl,bar_hopping","Join a hosted bar hop through the Old Town with welcome shots, skip-the-line entry, and drinking games. Meet fellow travelers, hit 3–4 lively bars and finish in a club. Great way to sample Bucharest's nightlife without planning.",Bucharest,București,44.4312,26.1036,180,240,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group,solo",booking-required,moderate,all_weather,night,in-city,none_required,$$,,https://www.getyourguide.com/bucharest-l111/pub-crawl-tc113/,GetYourGuide operators rotate venues
cluj-pub-crawl,Cluj-Napoca Pub Crawl,nightlife,"pub_crawl,bar_hopping","Hop between student-favorite pubs and clubs in the heart of Cluj. A local guide curates drink deals and dance floors, introducing you to the city's friendly nightlife scene and fellow travelers.",Cluj-Napoca,Cluj,46.7706,23.5899,150,240,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group,solo",booking-required,moderate,all_weather,night,in-city,none_required,$$,,https://www.getyourguide.com/cluj-napoca-l32107/pub-crawl-tc113/,Typical stops: Unirii–Museum Sq area
bucharest-jazz-night,Live Jazz Night – Bucharest,nightlife,"live_music,jazz","Settle into an intimate club for live jazz, from swing standards to contemporary improv. Many venues host touring acts and late jam sessions—arrive early for tables and check online programs for ticketed shows.",Bucharest,București,44.4397,26.0969,120,210,all,indoor,medium,beginner,"cozy,creative,social",urban,none,"date,friends,group",booking-recommended,low,all_weather,evening,in-city,none_required,$$,,https://greenhours.ro/; https://thejazzbook.ro/,Green Hours & JazzBook schedules
summer-well-festival-buftea,Summer Well Festival (Buftea),seasonal,"music_festival,art","A boutique indie/pop festival set by the lake at Domeniul Știrbey near Bucharest. Expect big-name headliners, art installations, food markets, and a chill countryside vibe. Cashless wristbands and shuttles from the city.",Buftea,Ilfov,44.5633,25.9448,480,1440,summer,either,high,beginner,"adventurous,social,creative","park,valley",none,"friends,group",booking-required,moderate,heat_sensitive,"evening,night","day-trip,overnight",none_required,$$$,,https://summerwell.ro/,Dates August; official shuttles
jazz-in-the-park-cluj,Jazz in the Park – Cluj,seasonal,"music_festival,jazz","Award-winning festival brings open-air concerts, experimental projects and workshops across Cluj parks and venues. Family-friendly by day, atmospheric by night. Expect cashless payments and curated street food.",Cluj-Napoca,Cluj,46.7709,23.5879,240,720,summer,either,medium,beginner,"creative,relaxed,social","urban,park",none,"family,friends,accessible",booking-required,low,heat_sensitive,"daytime,evening",in-city,none_required,$$,,https://www.jazzinthepark.ro/en,Multiple park stages
dealu-mare-wine-day,Dealu Mare Wine Day Trip,culinary,"wine_tasting,vineyard,tour",Spend a leisurely day among rolling vines in Romania's top red-wine region. Visit two to three estates for guided cellar tours and tastings of Fetească Neagră and blends. Drivers available; most wineries require advance booking.,Ceptura,Prahova,45.0479,26.3459,240,420,shoulder,either,chill,beginner,"romantic,creative,relaxed","valley,hill,resort",provided,"date,small-group",booking-required,low,ok_in_rain,daytime,day-trip,none_required,$$,,https://www.lacertawinery.ro/en/; https://budureasca.ro/en/; https://serve.ro/en/,Plan 2–3 wineries
cramele-recas-tasting,Cramele Recaș Winery Tour & Tasting,culinary,"wine_tasting,cellar_tour","Near Timișoara, tour modern facilities, walk the vineyards and sip crisp whites and easy-drinking reds in guided tastings. Combine with local snacks or lunch add-ons when available.",Recaș,Timiș,45.7863,21.3831,90,150,all,either,chill,beginner,"romantic,cozy,creative","valley,urban",provided,"date,small-group",booking-required,low,ok_in_rain,daytime,day-trip,none_required,$$,,https://cramelerecas.ro/en/visit-us/,Advance booking essential
bucharest-paint-and-sip-night,Paint & Sip Night – Bucharest,creative,"painting,workshop",Unwind with brushes and a glass at a guided painting session. No experience needed—an instructor leads step-by-step while you socialise. Take home your canvas at the end.,Bucharest,București,44.4432,26.0966,120,150,all,indoor,chill,beginner,"creative,cozy,social",urban,provided,"date,friends,group",booking-required,low,all_weather,evening,in-city,none_required,$$,,https://paintandparty.ro/; https://artandhobbystudio.ro/,Regular themed nights
bucharest-pottery-workshop,Bucharest Pottery Workshop,creative,"pottery,clay,handbuilding","Get hands-on with clay in a small-group studio session. Learn hand-building or try the wheel, decorate with slips and glazes, then leave pieces for firing. Great mindful break from sightseeing.",Bucharest,București,44.4439,26.1053,120,180,all,indoor,chill,beginner,"creative,mindful,relaxed",urban,provided,"solo,small-group,date",booking-required,low,all_weather,daytime,in-city,none_required,$$,,https://artandhobbystudio.ro/ateliere-ceramica/,Pieces collected after kiln
bucharest-padel-intro,Intro to Padel – Bucharest,sports,"padel,lesson,match_play","Fast, social racquet sport that's easier than tennis. Book a coaching intro or rent a court with friends; most clubs provide racquets and balls. Covered courts help year-round play.",Bucharest,București,44.4866,26.1236,60,90,all,either,medium,beginner,"social,adventurous","urban,resort",rental-gear,"friends,group,small-group",booking-required,low,all_weather,daytime,in-city,"balance,technique",$$,,https://padelmania.ro/,Multiple sites citywide
cluj-padel-intro,Intro to Padel – Cluj,sports,"padel,lesson,match_play","Pick up padel with a coach or rally with friends on modern courts in Cluj's suburbs. Easy to learn, great cardio, and very social—reserve peak hours in advance.",Florești,Cluj,46.7476,23.4893,60,90,all,either,medium,beginner,"social,explorer","urban,resort",rental-gear,"friends,group",booking-required,low,all_weather,evening,nearby,"balance,technique",$$,,https://peakpadel.ro/,Florești location
bucharest-tennis-lesson,Private Tennis Lesson – Bucharest,sports,"tennis,lesson","Work one-on-one with a licensed coach on technique, footwork, and match strategy at premium facilities. Racquet rental and ball baskets available; book indoor courts for winter.",Bucharest,București,44.4951,26.0976,60,90,all,either,medium,beginner,"creative,adventurous","urban,resort",rental-gear,"solo,small-group",booking-required,low,all_weather,daytime,in-city,"balance,technique",$$$,,https://www.stejarii.ro/sports/tennis/,Guest access by arrangement
theodora-golf-clinic,Theodora Golf Club – Intro Clinic,sports,"golf,lesson,driving_range","Romania's longest par-6 lives here, but first-timers can book an academy session: grip, stance, swing and putting. Practice on range bays then try the academy holes amid Transylvanian hills.",Teleac,Alba,46.0598,23.6067,60,120,shoulder,outdoor,medium,beginner,"relaxed,creative,explorer","valley,hill,resort",rental-gear,"solo,small-group",booking-required,low,ok_in_rain,daytime,day-trip,"balance,technique",$$$,,https://theodoragolfclub.ro/en/academy/,Near Alba Iulia
constanta-scuba-intro,Discover Scuba Diving – Black Sea,water,"scuba,lesson,boat_dive","Try scuba with a certified instructor along the Black Sea coast. Learn basics in shallow water, then make a short dive to meet fish and reefs (conditions permitting). All equipment provided.",Constanța,Constanța,44.1800,28.6340,150,210,summer,outdoor,medium,beginner,"adventurous,explorer",coast,provided,"small-group,solo",booking-required,moderate,wind_sensitive,daytime,day-trip,"technique,none_required",$$$,,https://scubadiving.ro/; https://scubazone.ro/,Centers in Eforie/Constanța
constanta-sailing-course,RYA-Style Weekend Sailing – Constanța,water,"sailing,lesson","Spend a weekend learning crew roles, sail trim and safety on coastal waters with a certified skipper. Great foundation for skipper training or active seaside escape.",Constanța,Constanța,44.1765,28.6558,360,960,summer,outdoor,medium,beginner,"adventurous,explorer","coast,marina",lifejacket,small-group,booking-required,moderate,wind_sensitive,daytime,day-trip,"navigation,technique",$$$,,https://setsail.ro/; https://lifeharbour.ro/sailing/,Life Harbour & SetSail
buzau-rafting-buzau-river,Rafting on the Buzău River,water,"rafting,whitewater","Paddle fun Class II–III rapids through scenic valleys near Siriu Dam with pro guides. Wetsuits, helmets and safety briefings included—good for sporty beginners when flows allow.",Nehoiu,Buzău,45.4359,26.3162,180,240,shoulder,outdoor,high,beginner,"adrenaline,adventurous","valley,river",helmet,"group,small-group","guide-required,booking-required",moderate,wind_sensitive,daytime,day-trip,"endurance,balance",$$$,,https://greenadventure.ro/rafting/rafting-pe-raului-buzau/,Seasonal flows
