slug,name,category,subtypes,description,city,region,latitude,longitude,duration_min,duration_max,seasonality,indoor_outdoor,energy_level,tags_experience_level,tags_mood,tags_terrain,tags_equipment,tags_context,tags_requirement,tags_risk_level,tags_weather_fit,tags_time_of_day,tags_travel_time_band,tags_skills,tags_cost_band,hero_image_url,source_url,notes
parc-aventura-brasov-zipline,Parc Aventura Brașov Zipline & Ropes,adventure,"zipline,adventure_park,obstacle_course","Challenge yourself on multiple high-rope courses and long ziplines among tall pines by Lake Noua. Routes color-coded by difficulty suit families and thrill-seekers. Gloves provided; wear sporty clothing and closed shoes.",Brașov,Brașov,45.6112,25.645,120,180,summer,outdoor,high,mixed,"adrenaline,adventurous,social","forest,urban,hill","helmet,harness,provided","family,friends,group","booking-optional,guide-optional",moderate,"wind_sensitive,heat_sensitive",daytime,"in-city,nearby",balance,$,https://www.parc-aventura.ro/,https://www.parc-aventura.ro/,"Located by Lake Noua in Brașov."
black-sea-sea-kayaking-mangalia,Black Sea Sea-Kayaking (Mangalia),water,"kayaking,sea_kayak,lesson","Paddle the Black Sea coastline near Mangalia on a guided sea-kayak outing. Learn basic strokes, launch through small surf, and explore coves depending on weather. Suitable for beginners in calm conditions; wind and swell dependent.",Mangalia,Constanța,43.8095,28.5826,120,180,summer,outdoor,medium,beginner,"adventurous,explorer","coast,sea,resort","kayak,rental-gear,provided","small-group,friends","booking-required,guide-required",moderate,"wind_sensitive,heat_sensitive","daytime,sunrise,sunset",day-trip,"balance,technique",$$,https://www.blackseapaddlers.com/,https://www.kayakworld.ro/en/black-sea-paddlers/,"Operator lists Mangalia HQ; routes depend on weather/sea state."
bucharest-electronic-club-night,Electronic Club Night in Bucharest,nightlife,"electronic_music,dj,club","Bounce between Bucharest's underground electronic hotspots for a late session of techno, house and indie sets. Expect strong sound systems, rotating international lineups and crowds that dance till sunrise. Dress casual-cool, grab tickets in advance for headline nights, or rock up early for entry.",Bucharest,București,44.4329,26.1063,180,360,all,indoor,high,beginner,"social,adrenaline","urban",none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://www.tripadvisor.com/Attraction_Review-g294458-d7052255-Reviews-Control_Club-Bucharest.html,Use Control/Expirat as venues
cluj-live-music-night,Cluj Live Music & Club Night,nightlife,"live_music,dj,club","Catch a headliner or DJ set in Cluj's buzzing venues. Start with a live show, then slide into an after-hours dance floor. The city's students and creatives keep the vibe energetic yet friendly, with events most weekends.",Cluj-Napoca,Cluj,46.7712,23.6236,180,300,all,indoor,high,beginner,"social,adrenaline","urban",none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://formspace.ro/,FORM Space + Club Midi venues
timisoara-club-night,Timisoara Club Night,nightlife,"dj,club","Dress sharp(ish) and dive into Timișoara's sleek club scene for chart, electronic and hip-hop nights. Bottle service available but not required; most venues run late with guest DJs most Fridays and Saturdays.",Timișoara,Timiș,45.7489,21.2087,180,300,all,indoor,high,beginner,"social,adrenaline","urban",none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://www.facebook.com/crossfittimisoara/,Use Epic Society/D'Arc as venues
iasi-night-out,Iași Night Out (Bars & Clubs),nightlife,"bar_hopping,club","Sip cocktails in stylish lounges then hit a dance floor in one of Iași's clubs. Weekends bring themed parties, guest DJs and packed dance floors; weeknights skew chiller with live acts and cocktails.",Iași,Iași,47.1585,27.6014,150,300,all,indoor,high,beginner,"social,adrenaline","urban",none,"friends,group",booking-optional,low,all_weather,"evening,night",in-city,none_required,$$,,https://fratelli.ro/,Fratelli + Underground the Pub venues
bucharest-escape-room-challenge,Bucharest Escape Room Challenge,social,"escape_room,puzzle","Race the clock with friends through cinematic sets and clever puzzles in Bucharest's largest escape venues. Choose difficulty and themes, book a private room, and celebrate your breakout with a drink nearby.",Bucharest,București,44.4405,26.1129,60,90,all,indoor,medium,mixed,"social,adrenaline","urban",none,"friends,group,team",booking-required,low,all_weather,any,in-city,"technique,none_required",$$,,https://www.trapped.ro/en/,Multiple locations available
cluj-escape-room-adventure,Cluj Escape Room Adventure,social,"escape_room,puzzle","Tackle story-driven missions in Cluj with automated props and movie-set vibes. It's a teamwork workout with brainy challenges; great for small groups and corporate teams alike.",Cluj-Napoca,Cluj,46.772,23.589,60,90,all,indoor,medium,mixed,"social,explorer","urban",none,"friends,group,team",booking-required,low,all_weather,any,in-city,"technique,none_required",$$,,https://www.escapefactory.ro/,Escape Factory + The Mystery venues
bucharest-yoga-class,Bucharest Yoga Class (Vinyasa/Hatha),fitness,"yoga,group_class","Reset with an all-levels flow in central studios. Experienced instructors guide breathwork, alignment and gentle strength. Mats provided at most studios; book morning or evening sessions to suit your schedule.",Bucharest,București,44.441,26.097,60,90,all,either,chill,beginner,"mindful,relaxed","urban",provided,"solo,small-group",booking-required,low,all_weather,"morning,evening",in-city,none_required,$$,,https://purnayogaacademy.com/yoga-classes/,Use Purna + Yoginovate venues
cluj-crossfit-session,CrossFit Session in Cluj,fitness,"crossfit,hiit","Power through a coached WOD focusing on functional strength, conditioning and mobility. Scaled movements welcome—perfect for travelers wanting a serious sweat and a supportive community.",Cluj-Napoca,Cluj,46.7722,23.612,60,75,all,indoor,high,mixed,"adrenaline,social","urban",none,"solo,group,friends",booking-recommended,moderate,all_weather,morning,in-city,"endurance,technique",$$,,https://smartmovecrossfit.ro/,Two central locations
bucharest-crossfit-session,CrossFit Session in Bucharest,fitness,"crossfit,hiit","Hit a high-intensity class with certified coaches, barbells and rigs. Visitors can drop into community WODs or book personal training to tune technique.",Bucharest,București,44.493,26.064,60,75,all,indoor,high,mixed,"adrenaline,social","urban",none,"solo,group,friends",booking-recommended,moderate,all_weather,morning,in-city,"endurance,technique",$$,,https://crossfit-bucharest.com/,CrossFit Nord BVS + CrossFit Bucharest venues
oradea-thermal-aqua-day,Oradea Thermal Aqua Day (Aquaparks),wellness,"thermal_spa,sauna,waterslides","Soak in mineral-rich pools, rotate steam/sauna circuits and hit slides if you want thrills. Family-friendly zones and adult relaxation areas make this a great wellness-plus-fun day in Oradea & Băile Felix.",Oradea,Bihor,47.0722,21.9211,180,360,all,indoor,medium,beginner,"relaxed,cozy","urban,resort",provided,"family,group,solo",booking-recommended,low,all_weather,daytime,nearby,none_required,$$,,https://www.aquapark-nymphaea.ro/,Pair with Aqua Park President Felix
sovata-salt-lake-spa-day,Sovata Bear Lake & Spa Day,wellness,"salt_lake,spa,sauna","Float effortlessly in saline waters and alternate with saunas and Kneipp pools at Ensana Sovata. Classic balneary treatments are available alongside modern wellness programs.",Sovata,Mureș,46.5850,25.0740,120,240,all,either,chill,beginner,"mindful,relaxed,romantic","resort,lake",provided,"solo,date,small-group",booking-required,low,all_weather,daytime,day-trip,none_required,$$,,https://ensanahotels.com/en/hotels/sovata/spa,Check seasonal maintenance notes
balvanyos-forest-spa-ritual,Balvanyos Forest Spa Ritual,wellness,"thermal_circuit,spa","Hide away in a pine-ringed spa with outdoor hot tubs, thermal circuits and treatment rooms blending wood, stone, water and fire. Ideal for couples or a serene solo reset.",Balvanyos,Covasna,46.0550,26.1250,120,240,all,either,chill,beginner,"romantic,cozy,mindful","forest,resort,hill",provided,"date,solo",booking-required,low,all_weather,"daytime,evening",day-trip,none_required,$$$,,https://balvanyosresort.ro/en/spa/,Grand Santerra Spa
black-sea-kayaking-constanta,Black Sea Coastal Kayaking Coaching,water,"sea_kayak,lesson","Paddle along the Dobrogea coast with a certified sea-kayak coach. Learn strokes, safety and navigation as you explore cliffs and coves when conditions allow. All kit provided; sessions tailored to level.",Constanța,Constanța,44.1805,28.6348,120,240,summer,outdoor,medium,mixed,"adventurous,explorer","coast",provided,"small-group,solo",guide-required,moderate,wind_sensitive,"daytime,sunset",day-trip,"technique,balance",$$,,https://www.celticpaddles.com/expedition-centres/black-sea-paddlers,Operated by Black Sea Paddlers (Mangalia base)
snagov-wakeboarding-session,Wakeboarding Session near Bucharest,water,"wakeboard,boat_tow","Carve Snagov or a private lake on a coached wake set. Beginners get 1-to-1 instruction and safety gear; riders can push tricks with progressive coaching. Great summer adrenaline hit close to the city.",Snagov,Ilfov,44.7250,26.1850,60,90,summer,outdoor,high,mixed,"adrenaline,adventurous","lake,resort",provided,"solo,friends",lesson-recommended,moderate,wind_sensitive,daytime,nearby,"balance,technique",$$$, ,https://www.ski-nautic.ro/,Also see TRQZ Lake
golf-transylvania-intro,Intro to Golf in Transylvania,sports,"golf,driving_range,lesson","Learn grip, stance and swing on a driving range before testing short game on academy holes. Friendly coaches and calm countryside make this an approachable first step into golf.",Apahida,Cluj,46.8806,23.3972,60,120,shoulder,outdoor,medium,beginner,"creative,relaxed,explorer","valley,hill,resort",rental-gear,"solo,small-group",lesson-recommended,low,ok_in_rain,daytime,day-trip,"technique,balance",$$,,https://www.transilvaniagolf.ro/contact.php,GPS provided by club
bucharest-lake-boat-date,Romantic Boat Ride on Herăstrău Lake,romance,"boat_ride,sightseeing","Glide past green isles and city skyline on a private or shared lake cruise. Golden-hour trips are perfect for proposals or a relaxed date; book the classic 'Lăstunul' boat or rent a rowboat/pedalo.",Bucharest,București,44.4763,26.0832,45,60,summer,either,chill,beginner,"romantic,cozy,relaxed","urban,lake,park",provided,"date,small-group",booking-optional,low,heat_sensitive,"sunset,evening",in-city,none_required,$$,,https://www.herastrau.ro/en/,Boat rides operate spring–autumn
cluj-hot-air-balloon,Hot Air Balloon Flight near Cluj,romance,"hot_air_balloon,scenic","Lift off for a gentle flight over Transylvanian hills at sunrise or sunset. Share a basket as the pilot follows the winds; land for a celebratory toast and photos.",Cluj-Napoca,Cluj,46.7270,23.6200,60,90,shoulder,outdoor,chill,beginner,"romantic,adventurous","valley,hill",provided,"date,small-group",booking-required,moderate,wind_sensitive,"sunrise,sunset",day-trip,none_required,$$$,,https://wonderland.ro/en/activities/hot-air-balloon/,Also see Sky Fantasy operator
sibiu-christmas-market,Christmas Market Sibiu (Piața Mare),seasonal,"christmas_market,ice_rink","Wander one of Romania's most charming Christmas markets under twinkling lights. Sip vin fiert, browse crafts and ride the Ferris wheel and carousel. Perfect for families and cozy dates.",Sibiu,Sibiu,45.7930,24.1510,60,180,winter,either,chill,beginner,"cozy,romantic,social","urban,park",none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://targuldecraciun.ro/,2025 season Nov 14–Jan 4
cluj-christmas-market,Christmas Market Cluj-Napoca (Piața Unirii),seasonal,"christmas_market,ice_rink","A festive village in Union Square with local makers, carols and skating. Warm your hands on kürtőskalács and mulled wine between photo-ops at the big tree.",Cluj-Napoca,Cluj,46.7706,23.5899,60,180,winter,either,chill,beginner,"cozy,social,romantic","urban",none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://www.europeanbestdestinations.com/christmas-markets/cluj-napoca/,Dates typically late Nov–early Jan
bucharest-christmas-market,Christmas Market Bucharest (Constitution Square),seasonal,"christmas_market,concerts","Big city atmosphere with stages, food alleys and artisan stalls in front of the Parliament. Visit evenings for light shows and live music.",Bucharest,București,44.4263,26.0880,60,180,winter,either,chill,beginner,"cozy,social,romantic","urban",none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://www.bucharestchristmasmarket.ro/en/about/,Hours listed by organizers
timisoara-christmas-market,Christmas Market Timișoara (Victory Square),seasonal,"christmas_market,ice_rink","Wooden chalets, folk music and a Ferris wheel light up the center. Snack your way through local sweets and enjoy nightly performances.",Timișoara,Timiș,45.7537,21.2257,60,150,winter,either,chill,beginner,"cozy,social","urban",none,"family,friends,date",none,low,cold_friendly,"evening,night",in-city,none_required,$, ,https://ultimatechristmasmarkets.com/romania/timisoara-christmas-market/,Recent 2025 guide
bucharest-traditional-food-tour,Bucharest Traditional Food Tour,culinary,"food_tour,street_food","Taste sarmale, mici, covrigi, and sweet cozonac while exploring Old Town and historic markets with a local foodie guide. Learn dish origins, ordering etiquette, and how to pair Romanian beers and wines. Vegetarian alternatives usually available; small groups keep it personal.",Bucharest,București,44.4319,26.1025,150,210,all,either,medium,beginner,"social,creative,explorer","urban,market",none,"small-group,group,solo","booking-required",low,ok_in_rain,"daytime,evening",in-city,none_required,$$,,https://www.getyourguide.com/bucharest-l111/food-drinks-tc103/,"Multiple operators on GetYourGuide/Viator"
bucharest-romanian-cooking-class,Romanian Cooking Class in Bucharest,culinary,"cooking_class,home_experience","Chop, simmer, and season your own three-course Romanian meal—think ciorbă, sarmale, and papanasi—guided by a local chef. Hands-on instruction covers spice blends, plating, and stories behind classic dishes. Sit down to enjoy your creations with a glass of local wine.",Bucharest,București,44.4408,26.1004,180,210,all,indoor,medium,beginner,"creative,cozy,romantic","urban",provided,"date,small-group,solo","booking-required",low,all_weather,"evening,daytime",in-city,"technique,none_required",$$,,https://www.viator.com/Bucharest/d499-ttd/cooking-classes/d22290,"Multiple studios; check dates"
cluj-street-food-tour,Cluj-Napoca Street Food & Market Tasting,culinary,"food_tour,market","Sample Transylvanian cheeses, cured meats, chimney cake, and specialty coffee on a guided walk through Cluj's central squares and marketplace. Meet vendors, learn regional flavors, and pick up tips on ordering local favorites.",Cluj-Napoca,Cluj,46.7707,23.5899,120,180,all,outdoor,medium,beginner,"explorer,creative,social","urban,market",none,"small-group,solo","booking-required",low,wind_sensitive,"daytime",in-city,none_required,$$,,https://www.getyourguide.com/cluj-napoca-l32107/food-drinks-tc103/,"Runs most days in season"
sibiu-food-tour,Sibiu Old Town Food Tour,culinary,"food_tour,market","Discover Saxon-influenced recipes on a curated tasting route: soups and stews, artisan bread, cured meats, and local desserts. Your guide shares culinary history and modern slow-food projects around Sibiu.",Sibiu,Sibiu,45.7926,24.1513,120,180,all,either,chill,beginner,"cozy,creative,explorer","urban,market",none,"small-group,friends","booking-required",low,ok_in_rain,daytime,in-city,none_required,$$,,https://sibiufoodtours.com/,"Independent operator; check calendar"
timisoara-craft-beer-tasting,Timișoara Craft Beer Tasting Crawl,culinary,"beer_tasting,bar_hopping","Explore Romania's craft scene with flights at two taprooms. Learn styles from NEIPA to barrel-aged stouts, how to read labels, and what pairs with local snacks. Perfect prelude to a night out.",Timișoara,Timiș,45.7552,21.2276,120,150,all,indoor,medium,beginner,"social,creative","urban",none,"friends,group,solo","booking-recommended",low,all_weather,evening,in-city,none_required,$$,,https://www.beretatm.ro/; https://clinicadebere.ro/,"Taprooms rotate seasonal lists"
iasi-winery-visit-gramma,Gramma Winery Visit & Tasting (Iași),culinary,"wine_tasting,cellar_tour","Drive into the Bârnova hills for a guided tasting of aromatic whites and blends. Stroll the vines, see the cellar, and learn about Moldavian terroir. Pair with local cheeses or snacks on request.",Iași,Iași,47.0686,27.6421,90,120,shoulder,either,chill,beginner,"romantic,relaxed,creative","valley,hill",provided,"date,small-group","booking-required",low,ok_in_rain,daytime,day-trip,none_required,$$,,https://grammawines.ro/,"Advance reservation required"
domeniul-bogdan-winery-tour,Domeniul Bogdan Organic Winery Tour,culinary,"wine_tasting,organic","Visit an organic estate in Dobrogea near Constanța. Walk the vineyard, learn biodynamic practices, and taste award-winning wines in a modern cellar. Ideal summer day-trip from the coast.",Peștera,Constanța,44.2720,28.1828,120,150,summer,either,chill,beginner,"creative,relaxed","valley,hill,resort",provided,"date,small-group","booking-required",low,heat_sensitive,daytime,day-trip,none_required,$$,,https://domeniulbogdan.ro/,"English tours available"
dealu-mare-winery-trio,Dealu Mare Winery Trio (Lacerta/Serve/Budureasca),culinary,"wine_tasting,day_trip","Spend a full day tasting across three flagship estates in Dealu Mare. Compare styles with a sommelier host, tour barrel rooms, and enjoy viewpoints over rolling hills. Transfers and lunch add-ons available.",Ceptura,Prahova,45.0466,26.3533,360,480,shoulder,either,medium,beginner,"romantic,creative,relaxed","valley,hill",provided,"date,small-group","booking-required",low,ok_in_rain,daytime,day-trip,none_required,$$$,,https://serve.ro/en/; https://www.lacertawinery.ro/en; https://budureasca.ro/en/,"Plan ~3 wineries"
constanta-seafood-tasting,Constanța Seafood Tasting Experience,culinary,"seafood_tasting,local_dining","Feast on Black Sea catch—fried hamsii, rapana, mussels—and Dobrogean specialties with seaside views. Learn what's in season, typical cooking methods, and recommended local wines.",Constanța,Constanța,44.1768,28.6615,90,120,summer,either,chill,beginner,"cozy,romantic,creative","coast,urban",none,"date,small-group,friends",booking-recommended,low,heat_sensitive,"daytime,evening",in-city,none_required,$$,,https://www.pescarialuimatei.ro/; https://restaurantreyna.ro/,"Popular seaside restaurants"
bucharest-improv-workshop,Improvisation Theatre Workshop (Bucharest),creative,"improv,acting,workshop","Loosen up with games that build listening, spontaneity, and storytelling. A professional improv coach guides warmups and short-form scenes—no experience needed. Great confidence builder and social icebreaker.",Bucharest,București,44.4329,26.1063,120,150,all,indoor,medium,beginner,"creative,social,explorer","urban",none,"solo,group,friends","booking-required",low,all_weather,evening,in-city,none_required,$$,,https://improvisneyland.ro/,"Workshops in English listed periodically"
bucharest-salsa-bachata-beginner,Salsa/Bachata Beginner Class (Bucharest),creative,"dance,latin","Learn basic steps and partner connection in a friendly studio. Rotate partners, practice timing, and finish with a short social dance. Sneakers OK; no partner required.",Bucharest,București,44.4477,26.0931,60,90,all,indoor,medium,beginner,"creative,social","urban",none,"solo,group,friends","booking-required",low,all_weather,evening,in-city,"balance,none_required",$$,,https://salsafactory.ro/,"Weekly socials available"
bucharest-cyanotype-workshop,Cyanotype & Alternative Photography Workshop,creative,"photography,printing,workshop","Create sun-printed blue images using vintage cyanotype chemistry. Compose botanicals or photo negatives, coat paper, expose, and wash to reveal unique prints. All materials provided.",Bucharest,București,44.4389,26.1075,120,150,all,indoor,chill,beginner,"creative,mindful","urban",provided,"solo,small-group","booking-required",low,all_weather,daytime,in-city,none_required,$$,,https://allkimik.ro/,"English-friendly classes"
bucharest-screenprinting-workshop,Screen Printing Basics (Bucharest),creative,"printmaking,workshop","Design, burn a screen, and pull your first T-shirt or poster print under an artist's guidance. Learn inks, mesh counts, and registration tips, then take home your custom piece.",Bucharest,București,44.4389,26.1075,150,180,all,indoor,medium,beginner,"creative,explorer","urban",provided,"small-group,friends","booking-required",low,all_weather,daytime,in-city,none_required,$$,,https://allkimik.ro/,"Materials included"
sibiu-icon-painting-workshop,Icon on Glass Workshop (ASTRA Museum),creative,"folk_art,painting","Discover a Transylvanian folk technique painting icons on glass. Trace motifs, apply colors in reverse, and seal your piece to take home. Hosted by craftspeople inside the open-air museum.",Sibiu,Sibiu,45.7575,24.1139,120,150,shoulder,indoor,chill,beginner,"creative,cozy","park,urban",provided,"family,small-group","booking-required",low,ok_in_rain,daytime,in-city,none_required,$$,,https://muzeulastra.ro/,"Workshops by request"
sibiu-weaving-loom-workshop,Weaving on the Loom (ASTRA Museum),creative,"weaving,craft","Try hand-weaving on a traditional loom, learning basic patterns and warp/weft setup. Friendly facilitators guide you through a small sample you can keep.",Sibiu,Sibiu,45.7575,24.1139,90,120,shoulder,indoor,chill,beginner,"creative,mindful","park,urban",provided,"family,small-group,solo","booking-required",low,ok_in_rain,daytime,in-city,none_required,$$,,https://muzeulastra.ro/,"Reserve ahead"
bucharest-romanian-crashcourse,Romanian Language Crash Course (Bucharest),learning,"language,workshop","Pick up essentials—greetings, numbers, food words, and travel phrases—in a fast-paced intro led by a certified teacher. Materials provided; small groups keep it interactive.",Bucharest,București,44.4442,26.0962,90,120,all,indoor,medium,beginner,"creative,explorer","urban",provided,"solo,small-group","booking-required",low,all_weather,"morning,evening",in-city,none_required,$$,,https://rolang.ro/en/,"Rolang School central campus"
bucharest-coffee-brewing-class,Specialty Coffee Brewing Class (Bucharest),learning,"coffee,class","Dial in your pour-over and AeroPress with a barista trainer: grind size, ratios, and extraction. Practice on pro gear and taste differences across recipes and origins.",Bucharest,București,44.4367,26.0976,90,120,all,indoor,medium,beginner,"creative,explorer","urban",provided,"solo,small-group","booking-required",low,all_weather,"morning,afternoon",in-city,none_required,$$,,https://origocoffee.ro/,"ORIGO training studio"
